time,G(i),H_sun,T2m,WS10m,Int
20150112:2311,0.0,0.0,7.14,8.69,0.0
20150113:0011,0.0,0.0,6.9,8.07,0.0
20150113:0111,0.0,0.0,6.67,6.76,0.0
20150113:0211,0.0,0.0,6.42,6.62,0.0
20150113:0311,0.0,0.0,6.37,7.52,0.0
20150113:0411,0.0,0.0,6.66,8.69,0.0
20150113:0511,0.0,0.0,7.27,8.14,0.0
20150113:0611,0.0,0.0,8.05,8.83,0.0
20150113:0711,0.0,0.0,8.12,12.14,0.0
20150113:0811,5.42,2.44,7.87,12.55,0.0
20150113:0911,22.58,8.12,7.77,12.9,0.0
20150113:1011,50.57,12.12,7.67,12.48,0.0
20150113:1111,61.41,14.13,7.67,11.24,0.0
20150113:1211,60.5,13.96,7.63,10.34,0.0
20150113:1311,49.67,11.65,7.46,10.07,0.0
20150113:1411,27.99,7.38,7.16,9.59,0.0
20150113:1511,0.0,0.0,6.91,9.24,0.0
20150113:1611,0.0,0.0,6.78,9.17,0.0
20150113:1711,0.0,0.0,6.71,8.34,0.0
20150113:1811,0.0,0.0,6.59,8.48,0.0
20150113:1911,0.0,0.0,6.38,8.34,0.0
20150113:2011,0.0,0.0,6.07,8.0,0.0
20150113:2111,0.0,0.0,5.67,8.62,0.0
20150113:2211,0.0,0.0,5.63,8.21,0.0
20150113:2311,0.0,0.0,5.59,10.21,0.0
20150114:0011,0.0,0.0,5.8,10.21,0.0
20150114:0111,0.0,0.0,5.99,9.66,0.0
20150114:0211,0.0,0.0,5.95,8.83,0.0
20150114:0311,0.0,0.0,5.87,10.69,0.0
20150114:0411,0.0,0.0,5.51,11.59,0.0
20150114:0511,0.0,0.0,4.9,12.69,0.0
20150114:0611,0.0,0.0,4.23,12.9,0.0
20150114:0711,0.0,0.0,4.05,13.03,0.0
20150114:0811,1.81,2.56,4.08,14.0,0.0
20150114:0911,385.97,8.25,3.92,13.66,0.0
20150114:1011,61.94,12.27,4.07,13.03,0.0
20150114:1111,182.82,14.29,4.48,12.62,0.0
20150114:1211,108.36,14.14,4.95,11.17,0.0
20150114:1311,276.36,11.84,4.97,11.66,0.0
20150114:1411,73.05,7.57,4.46,11.72,0.0
20150114:1511,0.0,0.0,4.4,10.48,0.0
20150114:1611,0.0,0.0,4.27,10.34,0.0
20150114:1711,0.0,0.0,4.63,9.72,0.0
20150114:1811,0.0,0.0,5.21,8.83,0.0
20150114:1911,0.0,0.0,5.5,10.21,0.0
20150114:2011,0.0,0.0,5.53,11.38,0.0
20150114:2111,0.0,0.0,5.25,11.59,0.0
20150114:2211,0.0,0.0,4.72,11.79,0.0
20150114:2311,0.0,0.0,4.37,11.66,0.0
20150115:0011,0.0,0.0,4.16,11.24,0.0
20150115:0111,0.0,0.0,4.14,11.72,0.0
20150115:0211,0.0,0.0,4.23,12.69,0.0
20150115:0311,0.0,0.0,4.36,13.31,0.0
20150115:0411,0.0,0.0,4.52,13.24,0.0
20150115:0511,0.0,0.0,4.86,12.9,0.0
20150115:0611,0.0,0.0,5.27,13.17,0.0
20150115:0711,0.0,0.0,5.9,16.55,0.0
20150115:0811,9.93,2.68,6.65,15.52,0.0
20150115:0911,61.71,8.39,7.17,15.52,0.0
20150115:1011,55.99,12.42,7.83,16.41,0.0
20150115:1111,111.48,14.47,8.1,15.38,0.0
20150115:1211,17.16,14.33,8.19,15.1,0.0
20150115:1311,53.28,12.03,8.07,13.72,0.0
20150115:1411,84.88,7.77,7.84,12.62,0.0
20150115:1511,0.0,0.0,7.63,12.0,0.0
20150115:1611,0.0,0.0,7.5,11.1,0.0
20150115:1711,0.0,0.0,7.37,10.83,0.0
20150115:1811,0.0,0.0,7.31,11.24,0.0
20150115:1911,0.0,0.0,7.31,12.62,0.0
20150115:2011,0.0,0.0,7.29,14.21,0.0
20150115:2111,0.0,0.0,6.82,14.9,0.0
20150115:2211,0.0,0.0,7.08,15.38,0.0
20150115:2311,0.0,0.0,6.99,15.1,0.0
20150116:0011,0.0,0.0,6.86,15.52,0.0
20150116:0111,0.0,0.0,6.7,16.14,0.0
20150116:0211,0.0,0.0,6.62,16.34,0.0
20150116:0311,0.0,0.0,6.51,16.34,0.0
20150116:0411,0.0,0.0,6.43,16.07,0.0
20150116:0511,0.0,0.0,6.43,15.38,0.0
20150116:0611,0.0,0.0,6.49,15.03,0.0
20150116:0711,0.0,0.0,6.49,14.97,0.0
20150116:0811,19.87,2.81,6.48,14.28,0.0
20150116:0911,86.99,8.54,6.42,13.72,0.0
20150116:1011,449.28,12.59,6.55,12.21,0.0
20150116:1111,608.3,14.65,6.5,12.41,0.0
20150116:1211,122.37,14.53,6.49,12.76,0.0
20150116:1311,240.45,12.23,6.48,12.21,0.0
20150116:1411,147.77,7.98,6.45,11.1,0.0
20150116:1511,0.0,0.0,6.42,10.07,0.0
20150116:1611,0.0,0.0,6.34,9.66,0.0
20150116:1711,0.0,0.0,6.22,9.17,0.0
20150116:1811,0.0,0.0,6.1,8.83,0.0
20150116:1911,0.0,0.0,5.89,8.9,0.0
20150116:2011,0.0,0.0,5.79,8.34,0.0
20150116:2111,0.0,0.0,5.73,8.07,0.0
20150116:2211,0.0,0.0,5.64,8.97,0.0
20150116:2311,0.0,0.0,5.78,9.03,0.0
20150117:0011,0.0,0.0,5.73,9.72,0.0
20150117:0111,0.0,0.0,5.65,9.93,0.0
20150117:0211,0.0,0.0,5.55,9.59,0.0
20150117:0311,0.0,0.0,5.44,9.59,0.0
20150117:0411,0.0,0.0,5.34,9.79,0.0
20150117:0511,0.0,0.0,5.32,10.0,0.0
20150117:0611,0.0,0.0,5.4,10.21,0.0
20150117:0711,0.0,0.0,5.49,10.28,0.0
20150117:0811,52.25,2.95,5.57,10.55,0.0
20150117:0911,219.42,8.69,5.63,10.76,0.0
20150117:1011,18.96,12.76,5.51,9.79,0.0
20150117:1111,605.45,14.84,5.52,10.97,0.0
20150117:1211,537.54,14.73,5.52,11.03,0.0
20150117:1311,326.22,12.44,5.45,11.17,0.0
20150117:1411,358.38,8.19,5.41,11.1,0.0
20150117:1511,0.0,0.0,5.15,10.76,0.0
20150117:1611,0.0,0.0,5.17,10.9,0.0
20150117:1711,0.0,0.0,5.24,10.9,0.0
20150117:1811,0.0,0.0,5.0,10.97,0.0
20150117:1911,0.0,0.0,4.68,11.45,0.0
20150117:2011,0.0,0.0,4.08,11.38,0.0
20150117:2111,0.0,0.0,3.42,11.59,0.0
20150117:2211,0.0,0.0,3.85,11.59,0.0
20150117:2311,0.0,0.0,3.65,11.72,0.0
20150118:0011,0.0,0.0,3.48,11.38,0.0
20150118:0111,0.0,0.0,3.51,11.17,0.0
20150118:0211,0.0,0.0,3.69,10.83,0.0
20150118:0311,0.0,0.0,3.66,10.83,0.0
20150118:0411,0.0,0.0,3.7,10.69,0.0
20150118:0511,0.0,0.0,3.7,10.69,0.0
20150118:0611,0.0,0.0,3.7,10.76,0.0
20150118:0711,0.0,0.0,3.61,10.48,0.0
20150118:0811,5.42,3.09,3.52,10.34,0.0
20150118:0911,22.58,8.85,3.48,10.0,0.0
20150118:1011,22.58,12.94,3.65,9.31,0.0
20150118:1111,32.51,15.03,3.55,8.9,0.0
20150118:1211,53.28,14.93,3.51,8.34,0.0
20150118:1311,32.51,12.65,3.54,7.93,0.0
20150118:1411,9.03,8.4,3.58,7.66,0.0
20150118:1511,3.61,2.51,3.63,7.1,0.0
20150118:1611,0.0,0.0,3.62,6.21,0.0
20150118:1711,0.0,0.0,3.56,5.72,0.0
20150118:1811,0.0,0.0,3.48,5.45,0.0
20150118:1911,0.0,0.0,3.38,5.31,0.0
20150118:2011,0.0,0.0,3.25,4.97,0.0
20150118:2111,0.0,0.0,3.23,4.21,0.0
20150118:2211,0.0,0.0,3.88,4.48,0.0
20150118:2311,0.0,0.0,3.81,4.28,0.0
20150119:0011,0.0,0.0,3.79,3.86,0.0
20150119:0111,0.0,0.0,3.75,3.59,0.0
20150119:0211,0.0,0.0,3.77,3.1,0.0
20150119:0311,0.0,0.0,3.67,2.41,0.0
20150119:0411,0.0,0.0,3.61,2.0,0.0
20150119:0511,0.0,0.0,3.63,1.52,0.0
20150119:0611,0.0,0.0,3.67,0.83,0.0
20150119:0711,0.0,0.0,3.73,1.38,0.0
20150119:0811,22.36,3.24,3.65,2.14,0.0
20150119:0911,87.85,9.02,3.55,2.28,0.0
20150119:1011,102.9,13.12,3.19,2.69,0.0
20150119:1111,143.73,15.23,3.21,2.28,0.0
20150119:1211,115.26,15.14,3.24,1.93,0.0
20150119:1311,225.58,12.87,3.28,1.66,0.0
20150119:1411,27.99,8.62,3.35,1.03,0.0
20150119:1511,5.42,2.73,3.37,0.48,0.0
20150119:1611,0.0,0.0,3.32,1.03,0.0
20150119:1711,0.0,0.0,3.29,1.72,0.0
20150119:1811,0.0,0.0,3.19,2.14,0.0
20150119:1911,0.0,0.0,3.0,2.07,0.0
20150119:2011,0.0,0.0,2.8,2.0,0.0
20150119:2111,0.0,0.0,2.82,1.79,0.0
20150119:2211,0.0,0.0,3.06,3.24,0.0
20150119:2311,0.0,0.0,3.03,2.97,0.0
20150120:0011,0.0,0.0,3.05,2.21,0.0
20150120:0111,0.0,0.0,3.0,1.86,0.0
20150120:0211,0.0,0.0,2.87,1.66,0.0
20150120:0311,0.0,0.0,2.64,1.45,0.0
20150120:0411,0.0,0.0,2.4,1.24,0.0
20150120:0511,0.0,0.0,2.37,1.24,0.0
20150120:0611,0.0,0.0,2.4,1.24,0.0
20150120:0711,0.0,0.0,2.43,1.1,0.0
20150120:0811,41.9,3.39,2.47,1.1,0.0
20150120:0911,178.08,9.19,2.43,1.1,0.0
20150120:1011,556.37,13.32,2.56,1.45,0.0
20150120:1111,713.05,15.44,2.55,1.93,0.0
20150120:1211,620.16,15.36,2.66,2.55,0.0
20150120:1311,573.38,13.1,2.85,3.24,0.0
20150120:1411,262.98,8.84,3.01,4.0,0.0
20150120:1511,104.98,2.95,3.15,4.41,0.0
20150120:1611,0.0,0.0,3.26,4.41,0.0
20150120:1711,0.0,0.0,3.36,4.28,0.0
20150120:1811,0.0,0.0,3.37,4.55,0.0
20150120:1911,0.0,0.0,3.31,4.83,0.0
20150120:2011,0.0,0.0,3.17,5.17,0.0
20150120:2111,0.0,0.0,3.0,5.66,0.0
20150120:2211,0.0,0.0,2.83,6.34,0.0
20150120:2311,0.0,0.0,2.65,6.21,0.0
