train/critic_loss,train/learning_rate,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
1.6956542588689375e+24,0.0003,4836789583872.0,21,-684.629150390625,3835,35524673536.0,243,81648,336.0,-129940.84926470001,81547
2.13102609793091e+24,0.0003,4902719324160.0,21,-684.7576904296875,3851,39287443456.0,244,81984,336.0,-129931.88023881998,81883
2.3997918444355325e+24,0.0003,5223240171520.0,21,-688.7028198242188,3867,43452493824.0,245,82320,336.0,-129931.67802508999,82219
2.8428190822880944e+24,0.0003,5186760212480.0,21,-694.4627685546875,3883,48056262656.0,246,82656,336.0,-129929.89241138998,82555
3.2573767970818353e+24,0.0003,5624938627072.0,21,-693.36865234375,3898,53146578944.0,247,82992,336.0,-129930.38687240997,82891
3.829994862010404e+24,0.0003,5651712966656.0,21,-697.4616088867188,3914,58772946944.0,248,83328,336.0,-129930.79609312997,83227
4.714422277242152e+24,0.0003,5949997711360.0,21,-701.4915771484375,3931,65000153088.0,249,83664,336.0,-129925.70262595998,83563
5.48245534905481e+24,0.0003,6186660265984.0,21,-705.7117919921875,3948,71885791232.0,250,84000,336.0,-129921.01999936998,83899
6.410270082808675e+24,0.0003,6522424262656.0,21,-702.9981079101562,3964,79503564800.0,251,84336,336.0,-129921.78203948999,84235
8.278411054484398e+24,0.0003,6672893345792.0,21,-707.1857299804688,3980,87923400704.0,252,84672,336.0,-129914.20308621999,84571
9.985432398812819e+24,0.0003,6823277494272.0,21,-712.2750854492188,3995,97236983808.0,253,85008,336.0,-129905.8093115,84907
1.2001424024239324e+25,0.0003,7285453619200.0,21,-716.6536865234375,4013,107536728064.0,254,85344,336.0,-129907.40676244999,85243
1.4615836097867499e+25,0.0003,7485587980288.0,21,-718.90185546875,4030,118924738560.0,255,85680,336.0,-129913.24339528002,85579
1.7142531597582176e+25,0.0003,7872004489216.0,21,-714.0380859375,4046,131515965440.0,256,86016,336.0,-129910.59943078,85915
2.070284313168548e+25,0.0003,8538497220608.0,21,-722.4635620117188,4062,145447796736.0,257,86352,336.0,-129914.20787576001,86251
2.526924700509793e+25,0.0003,8822122872832.0,21,-724.91650390625,4079,160852082688.0,258,86688,336.0,-129914.52536049999,86587
3.1267355720460188e+25,0.0003,9201470406656.0,21,-727.4750366210938,4095,177896292352.0,259,87024,336.0,-129915.68666656001,86923
3.792075734892487e+25,0.0003,9935681224704.0,21,-726.8969116210938,4110,196728553472.0,260,87360,336.0,-129919.33606126001,87259
4.620204724840627e+25,0.0003,10617931956224.0,21,-736.1135864257812,4126,217576407040.0,261,87696,336.0,-129925.39183174001,87595
5.724753332462985e+25,0.0003,11442668437504.0,21,-738.3350219726562,4142,240607838208.0,262,88032,336.0,-129927.59685898,87931
6.800718710143131e+25,0.0003,12205694124032.0,21,-739.8426513671875,4158,266113302528.0,263,88368,336.0,-129934.29385161001,88267
8.341038442367545e+25,0.0003,12910398013440.0,21,-738.6241455078125,4174,294317981696.0,264,88704,336.0,-129929.51640612997,88603
1.0180936065360613e+26,0.0003,13770541760512.0,21,-747.6560668945312,4192,325532450816.0,265,89040,336.0,-129932.57055987998,88939
1.239722105443365e+26,0.0003,15265880342528.0,21,-746.6630859375,4208,360001175552.0,266,89376,336.0,-129928.6275756,89275
1.5058123304229291e+26,0.0003,16061115138048.0,21,-747.09716796875,4224,398131691520.0,267,89712,336.0,-129930.76226336001,89611
1.809038987169363e+26,0.0003,17493321056256.0,21,-751.9786376953125,4240,440327798784.0,268,90048,336.0,-129930.87343533,89947
2.2803791236943453e+26,0.0003,18967408148480.0,21,-755.8323974609375,4255,486971015168.0,269,90384,336.0,-129928.6139759,90283
2.803490231929634e+26,0.0003,20659923058688.0,21,-761.6294555664062,4273,538536542208.0,270,90720,336.0,-129934.70769829002,90619
3.359326970956328e+26,0.0003,22247827832832.0,21,-761.0446166992188,4290,595564691456.0,271,91056,336.0,-129935.02964461001,90955
4.1637223338623734e+26,0.0003,24483643523072.0,21,-767.6142578125,4307,658671927296.0,272,91392,336.0,-129933.23365456001,91291
5.024865784497253e+26,0.0003,26721606696960.0,21,-768.395263671875,4323,728474517504.0,273,91728,336.0,-129937.79753488001,91627
