time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
523824,1559,336.0,47016,6445.50844217,11,2074.425221216111,0.001,-428.52016576131183,523488
524160,1560,336.0,47046,6415.98431709,11,1906.6995380946569,0.001,-428.9945520673479,523824
524496,1561,336.0,47077,6491.589870240002,11,1732.5237615676153,0.001,-429.20408521379744,524160
524832,1562,336.0,47108,6475.383709669999,11,1973.8714490618024,0.001,-429.69834445771716,524496
525168,1563,336.0,47138,6552.15828323,11,2078.5747093927293,0.001,-430.0604996454148,524832
525504,1564,336.0,47169,6553.66115296,11,1942.7600039527529,0.001,-430.14437848045714,525168
525840,1565,336.0,47199,6487.321532650001,11,1993.3475634257,0.001,-430.62782796223956,525504
526176,1566,336.0,47230,6498.60201983,11,2051.670348394485,0.001,-430.90692538306826,525840
526512,1567,336.0,47260,6519.86232604,11,2297.1622950236,0.001,-431.1303120567685,526176
526848,1568,336.0,47291,6549.519303410001,11,1859.239575158982,0.001,-431.60600662231445,526512
527184,1569,336.0,47321,6540.79505933,11,1856.2916138058617,0.001,-431.9999186197917,526848
527520,1570,336.0,47352,6557.7897671499995,11,1897.157670702253,0.001,-432.18819027855284,527184
527856,1571,336.0,47382,6570.702188960002,11,2058.1246744791665,0.001,-432.6812938508533,527520
528192,1572,336.0,47412,6616.0394055900015,11,1856.3166760035924,0.001,-433.02924219767254,527856
528528,1573,336.0,47443,6557.960191130001,11,1845.5185407002766,0.001,-433.4495133899507,528192
528864,1574,336.0,47473,6544.71326742,11,30485.989455995106,0.001,-433.5013627551851,528528
529200,1575,336.0,47503,6602.9399618,11,2053.2686941964284,0.001,-433.9486176627023,528864
529536,1576,336.0,47533,6549.7041508,11,2068.7959992544993,0.001,-434.2800596328009,529200
529872,1577,336.0,47563,6579.71985679,11,2019.892554873512,0.001,-434.4716201055618,529536
530208,1578,336.0,47594,6624.624430470001,11,2244.2150918869747,0.001,-434.91528592790877,529872
530544,1579,336.0,47625,6600.8012538,11,1871.5049374898274,0.001,-435.24919037591843,530208
530880,1580,336.0,47655,6589.998245130001,11,2064.3845799764,0.001,-435.5766892206101,530544
531216,1581,336.0,47685,6595.63160712,11,2178.3261275518507,0.001,-435.8725295293899,530880
531552,1582,336.0,47716,6592.18864088,11,2172.9633685520716,0.001,-436.15990938459123,531216
531888,1583,336.0,47746,6571.076855349999,11,2060.1212557838076,0.001,-436.44264548165455,531552
532224,1584,336.0,47777,6575.591156150002,11,2113.499524071103,0.001,-436.8815707252139,531888
532560,1585,336.0,47809,6501.8012791599995,11,2362.9438690912157,0.001,-437.0489196777344,532224
532896,1586,336.0,47839,6500.593462990001,11,2234.2770621890113,0.001,-437.47932906377883,532560
533232,1587,336.0,47870,6519.078474229999,11,2125.942036220006,0.001,-437.9074298313686,532896
533568,1588,336.0,47900,6516.592689720001,11,2290.575382959275,0.001,-438.25947661626907,533232
533904,1589,336.0,47931,6597.966758130001,11,2000.187622433617,0.001,-438.60682714553104,533568
534240,1590,336.0,47962,6614.2714199,11,2037.8370239621117,0.001,-438.70391918364027,533904
534576,1591,336.0,47992,6614.953036179999,11,2029.1192892165411,0.001,-439.1987379164923,534240
534912,1592,336.0,48022,6551.34071712,11,2199.4957560584658,0.001,-439.51304281325565,534576
535248,1593,336.0,48053,6534.713102399999,11,1890.0989748636882,0.001,-439.93971070789155,534912
535584,1594,336.0,48083,6484.990215649999,11,2114.726324172247,0.001,-440.1038525899251,535248
535920,1595,336.0,48114,6478.336041410001,11,2227.525783175514,0.001,-440.44551159086683,535584
536256,1596,336.0,48144,6514.418788089999,11,1856.038547334217,0.001,-440.81083206903367,535920
536592,1597,336.0,48174,6580.09842631,11,2182.1972659883045,0.001,-441.19921493530273,536256
536928,1598,336.0,48205,6576.021265349999,11,2115.1386918567478,0.001,-441.46918469383604,536592
