time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191219:1610,0.0,0.0,0.0,0.0,0.0,4.83,1.52,0.0
20191219:1710,0.0,0.0,0.0,0.0,0.0,3.86,1.52,0.0
20191219:1810,0.0,0.0,0.0,0.0,0.0,3.14,1.59,0.0
20191219:1910,0.0,0.0,0.0,0.0,0.0,3.14,1.52,0.0
20191219:2010,0.0,0.0,0.0,0.0,0.0,2.31,1.59,0.0
20191219:2110,0.0,0.0,0.0,0.0,0.0,1.8,1.52,0.0
20191219:2210,0.0,0.0,0.0,0.0,0.0,1.44,1.52,0.0
20191219:2310,0.0,0.0,0.0,0.0,0.0,1.04,1.52,0.0
20191220:0010,0.0,0.0,0.0,0.0,0.0,0.85,1.52,0.0
20191220:0110,0.0,0.0,0.0,0.0,0.0,0.77,1.52,0.0
20191220:0210,0.0,0.0,0.0,0.0,0.0,0.59,1.59,0.0
20191220:0310,0.0,0.0,0.0,0.0,0.0,0.49,1.59,0.0
20191220:0410,0.0,0.0,0.0,0.0,0.0,0.65,1.59,0.0
20191220:0510,0.0,0.0,0.0,0.0,0.0,0.47,1.66,0.0
20191220:0610,0.0,0.0,0.0,0.0,0.0,0.54,1.59,0.0
20191220:0710,20733000.0,140.58,100.69,2.24,10.2,0.99,1.59,0.0
20191220:0810,24080000.0,125.45,153.18,3.59,17.01,2.79,1.38,0.0
20191220:0910,63624000.0,611.04,146.59,6.9,21.7,5.9,1.1,0.0
20191220:1010,66181000.0,651.41,151.09,7.65,23.79,8.28,1.03,0.0
20191220:1110,64139000.0,642.85,137.06,7.46,23.03,9.74,1.1,0.0
20191220:1210,30505000.0,182.87,179.62,4.59,19.51,10.39,1.24,0.0
20191220:1310,8266000.0,19.98,90.74,2.0,13.63,10.06,0.9,0.0
20191220:1410,4484000.0,27.08,41.1,0.89,5.9,9.05,0.97,0.0
20191220:1510,0.0,0.0,0.0,0.0,0.0,6.8,1.1,0.0
20191220:1610,0.0,0.0,0.0,0.0,0.0,5.04,1.52,0.0
20191220:1710,0.0,0.0,0.0,0.0,0.0,3.65,1.72,0.0
20191220:1810,0.0,0.0,0.0,0.0,0.0,2.44,1.79,0.0
20191220:1910,0.0,0.0,0.0,0.0,0.0,1.51,1.93,0.0
20191220:2010,0.0,0.0,0.0,0.0,0.0,1.06,1.86,0.0
20191220:2110,0.0,0.0,0.0,0.0,0.0,0.4,1.93,0.0
20191220:2210,0.0,0.0,0.0,0.0,0.0,0.01,1.93,0.0
20191220:2310,0.0,0.0,0.0,0.0,0.0,-0.61,1.93,0.0
20191221:0010,0.0,0.0,0.0,0.0,0.0,-0.65,1.79,0.0
20191221:0110,0.0,0.0,0.0,0.0,0.0,-0.61,1.72,0.0
20191221:0210,0.0,0.0,0.0,0.0,0.0,-0.72,1.72,0.0
20191221:0310,0.0,0.0,0.0,0.0,0.0,-0.84,1.79,0.0
20191221:0410,0.0,0.0,0.0,0.0,0.0,-0.12,1.72,0.0
20191221:0510,0.0,0.0,0.0,0.0,0.0,0.1,1.72,0.0
20191221:0610,0.0,0.0,0.0,0.0,0.0,-0.15,1.72,0.0
20191221:0710,19260000.0,127.42,97.85,2.16,10.13,0.93,1.59,0.0
20191221:0810,17137000.0,66.69,138.44,3.12,16.96,4.81,1.24,0.0
20191221:0910,29949000.0,154.04,197.08,4.76,21.67,7.44,1.17,0.0
20191221:1010,17749000.0,40.74,175.7,3.93,23.78,9.6,1.38,0.0
20191221:1110,10382000.0,4.24,130.76,2.81,23.04,10.92,1.52,0.0
20191221:1210,4753000.0,0.0,70.44,1.5,19.54,11.51,1.79,0.0
20191221:1310,24106000.0,164.63,126.02,3.22,13.67,11.37,2.07,0.0
20191221:1410,2165000.0,7.69,31.2,0.67,5.96,10.08,2.14,0.0
20191221:1510,0.0,0.0,0.0,0.0,0.0,8.32,2.07,0.0
20191221:1610,0.0,0.0,0.0,0.0,0.0,6.32,2.0,0.0
20191221:1710,0.0,0.0,0.0,0.0,0.0,4.89,2.07,0.0
20191221:1810,0.0,0.0,0.0,0.0,0.0,4.7,2.21,0.0
20191221:1910,0.0,0.0,0.0,0.0,0.0,4.87,2.21,0.0
20191221:2010,0.0,0.0,0.0,0.0,0.0,4.93,2.21,0.0
20191221:2110,0.0,0.0,0.0,0.0,0.0,5.17,2.28,0.0
20191221:2210,0.0,0.0,0.0,0.0,0.0,5.28,2.41,0.0
20191221:2310,0.0,0.0,0.0,0.0,0.0,5.88,2.69,0.0
20191222:0010,0.0,0.0,0.0,0.0,0.0,5.91,2.55,0.0
20191222:0110,0.0,0.0,0.0,0.0,0.0,5.62,2.41,0.0
20191222:0210,0.0,0.0,0.0,0.0,0.0,4.73,2.21,0.0
20191222:0310,0.0,0.0,0.0,0.0,0.0,3.7,2.21,0.0
20191222:0410,0.0,0.0,0.0,0.0,0.0,3.38,2.14,0.0
20191222:0510,0.0,0.0,0.0,0.0,0.0,3.53,2.14,0.0
20191222:0610,0.0,0.0,0.0,0.0,0.0,2.83,2.14,0.0
20191222:0710,2487000.0,0.0,41.54,0.89,10.07,3.66,1.86,0.0
20191222:0810,15107000.0,53.94,130.51,2.93,16.91,7.02,1.66,0.0
20191222:0910,6958000.0,0.0,95.72,2.04,21.64,10.3,1.86,0.0
20191222:1010,2819000.0,0.0,46.96,1.0,23.77,11.46,2.07,0.0
20191222:1110,13482000.0,19.1,150.85,3.32,23.05,11.44,1.93,0.0
20191222:1210,8799000.0,6.61,110.39,2.39,19.57,11.26,2.34,0.0
20191222:1310,9036000.0,24.91,94.56,2.1,13.72,10.73,2.41,0.0
20191222:1410,2657000.0,11.46,33.79,0.73,6.02,9.65,1.93,0.0
20191222:1510,0.0,0.0,0.0,0.0,0.0,8.47,1.79,0.0
20191222:1610,0.0,0.0,0.0,0.0,0.0,7.72,1.66,0.0
20191222:1710,0.0,0.0,0.0,0.0,0.0,7.32,1.72,0.0
20191222:1810,0.0,0.0,0.0,0.0,0.0,7.36,1.93,0.0
20191222:1910,0.0,0.0,0.0,0.0,0.0,6.8,1.79,0.0
20191222:2010,0.0,0.0,0.0,0.0,0.0,5.38,1.72,0.0
