rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/std
16803.77586296,336.0,71680,35,18,3954,1656789.475,0.041943359375,-0.005078318009327632,340,0.0004671812057495117,900144.5,0.0003,0.006298907,0.2,-3.625775544345379,0.8173789978027344
17360.33446286,336.0,73728,36,18,4079,1886177.021875,0.03994140625,-0.00484195972821908,350,0.00022685527801513672,878105.375,0.0003,0.0067394366,0.2,-3.6055530421435833,0.8081324696540833
18027.56626772,336.0,75776,37,18,4189,2568078.601953125,0.081640625,0.006861039806244662,360,0.0002148151397705078,1422409.5,0.0003,0.010944375,0.2,-3.584766487777233,0.8068046569824219
18199.05488345,336.0,77824,38,18,4298,2250162.5203125,0.04208984375,-0.005985557108942885,370,2.4259090423583984e-05,975598.0,0.0003,0.0060494803,0.2,-3.5825838074088097,0.8073895573616028
18850.635005130003,336.0,79872,39,18,4412,2228769.68046875,0.070263671875,-0.007397619183757342,380,4.351139068603516e-06,1072997.25,0.0003,0.008239251,0.2,-3.576319421827793,0.8044487833976746
19728.2530834,336.0,81920,40,18,4544,1645164.473828125,0.05673828125,-0.006833264426677488,390,5.0067901611328125e-06,549688.25,0.0003,0.006545635,0.2,-3.5671477414667607,0.8030949234962463
19859.640063479997,336.0,83968,41,18,4659,2896411.58125,0.031494140625,-0.004457291381550021,400,4.708766937255859e-06,1363779.625,0.0003,0.0046350425,0.2,-3.5604628726840017,0.8011108040809631
20015.93562008,336.0,86016,42,18,4770,1780681.683984375,0.04375,-0.0024436352505290415,410,3.4570693969726562e-06,830435.125,0.0003,0.008177935,0.2,-3.5470283932983877,0.7974729537963867
20546.08539606,336.0,88064,43,18,4883,1803468.128125,0.0345703125,-0.003978215128881857,420,2.8014183044433594e-06,634173.625,0.0003,0.006555363,0.2,-3.5279795922338963,0.7928658127784729
21195.26478329,336.0,90112,44,17,5011,2077931.842578125,0.03603515625,-0.004894705223705387,430,3.2186508178710938e-06,1012780.1875,0.0003,0.005359784,0.2,-3.5154225207865237,0.7922828793525696
