rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/std
31316.051601749994,336.0,143360,70,17,8018,3016319.055859375,0.03447265625,-0.003343205805140315,690,0.0,1623347.375,0.0003,0.0044866567,0.2,-3.2074171461164953,0.7262046337127686
31736.61205381,336.0,145408,71,17,8131,3140619.58125,0.0447265625,-0.00631941927713342,700,0.0,1723865.75,0.0003,0.005956063,0.2,-3.214811250567436,0.7270676493644714
31859.871850640004,336.0,147456,72,17,8248,3551869.84609375,0.05234375,-0.007430219935486093,710,1.7881393432617188e-07,1581729.25,0.0003,0.007815119,0.2,-3.2122989885509012,0.7245057225227356
32412.459340220004,336.0,149504,73,17,8357,3596110.24453125,0.049169921875,-0.005100042217236478,720,1.1920928955078125e-07,1351196.0,0.0003,0.0067483573,0.2,-3.208465813845396,0.724397599697113
33003.56931501,336.0,151552,74,17,8467,3651055.596875,0.03408203125,-0.004908829375199275,730,5.960464477539063e-08,1674583.5,0.0003,0.0054224674,0.2,-3.2090716280043123,0.7233967781066895
32996.66858189,336.0,153600,75,17,8600,3876810.9890625,0.043359375,-0.005584656543214805,740,0.0,2042139.75,0.0003,0.0061462964,0.2,-3.2047435946762564,0.7225208878517151
32955.753207090005,336.0,155648,76,17,8718,3251337.21484375,0.05263671875,-0.006145581416785717,750,5.960464477539063e-08,1627622.25,0.0003,0.006396526,0.2,-3.2001915752887724,0.7215216755867004
33322.06480998,336.0,157696,77,17,8838,2995704.3765625,0.0603515625,-0.006313786318060011,760,0.0,1519605.375,0.0003,0.0075801434,0.2,-3.192740873992443,0.7180033326148987
32761.84656151,336.0,159744,78,17,8969,2880539.833984375,0.061767578125,-0.007231195703207049,770,5.960464477539063e-08,1328110.875,0.0003,0.0060736756,0.2,-3.179383733868599,0.7152464389801025
33083.21900144,336.0,161792,79,17,9085,3119579.3625,0.046875,-0.007003439405525569,780,0.0,1635975.0,0.0003,0.006335873,0.2,-3.1660598695278166,0.7121265530586243
33707.45830072001,336.0,163840,80,17,9195,3749959.16640625,0.038623046875,-0.004036115911003435,790,5.960464477539063e-08,1613313.375,0.0003,0.005848836,0.2,-3.1547484822571277,0.710254967212677
34116.99659445,336.0,165888,81,17,9305,4183229.65078125,0.0263671875,-0.0036660825993749314,800,1.1920928955078125e-07,2102852.25,0.0003,0.0055269888,0.2,-3.150516352802515,0.7104577422142029
33954.64251644,336.0,167936,82,17,9416,2876567.8359375,0.05234375,-0.005649750618613325,810,1.1920928955078125e-07,1405470.5,0.0003,0.0059366236,0.2,-3.142762906104326,0.7076663374900818
34087.38377752,336.0,169984,83,17,9526,3054817.200390625,0.035107421875,-0.00385959510167595,820,0.0,1468574.75,0.0003,0.0050336253,0.2,-3.1379992842674254,0.707062304019928
34429.352449519996,336.0,172032,84,17,9635,3513586.26796875,0.040869140625,-0.005070812941266922,830,0.0,1613609.0,0.0003,0.0052694743,0.2,-3.1365213260054587,0.7059347629547119
34511.08658017,336.0,174080,85,17,9746,3578905.67578125,0.04443359375,-0.00655324050312629,840,-1.1920928955078125e-07,1628372.25,0.0003,0.0064102756,0.2,-3.1312465496361255,0.7051070332527161
34675.0070573,336.0,176128,86,17,9857,3144752.0390625,0.031884765625,-0.0033923856652108954,850,5.960464477539063e-08,1743312.375,0.0003,0.00568856,0.2,-3.1189854398369787,0.70147705078125
34566.14233571001,336.0,178176,87,17,9967,3189735.73359375,0.044287109375,-0.005531449663976673,860,5.960464477539063e-08,1509200.5,0.0003,0.0067857066,0.2,-3.104975192993879,0.6983874440193176
34791.20547936,336.0,180224,88,17,10074,3175371.428125,0.043603515625,-0.005139015871827723,870,5.960464477539063e-08,1708246.25,0.0003,0.0049332217,0.2,-3.096191265434027,0.6968982815742493
34163.48893549,336.0,182272,89,17,10185,4140381.04921875,0.02802734375,-0.004032039629237261,880,-1.1920928955078125e-07,2248308.5,0.0003,0.005303021,0.2,-3.082132651656866,0.6924650073051453
34242.120259,336.0,184320,90,17,10308,2475867.5921875,0.0615234375,-0.004758851560472977,890,0.0,1338059.25,0.0003,0.006127364,0.2,-3.0812768667936323,0.6961901783943176
34192.66718744,336.0,186368,91,17,10429,3531847.30625,0.041796875,-0.004731604593689554,900,-1.1920928955078125e-07,1482038.625,0.0003,0.0061036386,0.2,-3.0852079458534716,0.6950386166572571
34752.86543511,336.0,188416,92,17,10545,3680433.234375,0.056640625,-0.005909550965589006,910,0.0,1661040.0,0.0003,0.0072118375,0.2,-3.071548477560282,0.6907532215118408
34742.87796339,336.0,190464,93,17,10673,3974913.56875,0.04228515625,-0.0056335845496505495,920,0.0,1651187.25,0.0003,0.005392012,0.2,-3.0501773945987223,0.6850680708885193
35192.32520035,336.0,192512,94,17,10789,2868944.1015625,0.071923828125,-0.0077593585680006075,930,0.0,1652171.25,0.0003,0.007017337,0.2,-3.025658743828535,0.6797330975532532
34689.377556010004,336.0,194560,95,17,10898,2940149.6328125,0.044677734375,-0.0062131387283443475,940,0.0,1271160.0,0.0003,0.0061360784,0.2,-3.011743614077568,0.6783003211021423
34611.359377429995,336.0,196608,96,17,11009,3461649.25078125,0.029296875,-0.0029791517939884216,950,0.0,1909165.25,0.0003,0.004197995,0.2,-2.999707364290953,0.6736261248588562
34366.0553706,336.0,198656,97,17,11120,3623394.4625,0.0359375,-0.0048572120460448785,960,0.0,1526531.875,0.0003,0.0054845978,0.2,-2.9896740414202214,0.6745350956916809
34791.06145636001,336.0,200704,98,17,11236,2635201.597265625,0.042431640625,-0.00612576213752618,970,0.0,1383089.375,0.0003,0.0057331976,0.2,-2.983234614133835,0.6714532971382141
34095.35255324999,336.0,202752,99,17,11355,3539114.6765625,0.04658203125,-0.005115839287464041,980,1.1920928955078125e-07,1652526.0,0.0003,0.0066338666,0.2,-2.969458804279566,0.6669755578041077
34098.27526353,336.0,204800,100,17,11467,2256401.15,0.071484375,-0.00712141303520184,990,0.0,1049677.625,0.0003,0.0069606863,0.2,-2.9603164196014404,0.666638970375061
33919.26033863,336.0,206848,101,17,11575,3606067.87578125,0.039013671875,-0.005041274000541307,1000,0.0,1725601.75,0.0003,0.0060745412,0.2,-2.945710415393114,0.6606128811836243
34324.93407887,336.0,208896,102,17,11686,3295523.94375,0.037353515625,-0.003806915546010714,1010,5.960464477539063e-08,1501968.75,0.0003,0.0056991074,0.2,-2.923581904917955,0.656937837600708
34090.43425739001,336.0,210944,103,17,11819,3639158.48671875,0.0193359375,-0.002994199992099311,1020,0.0,2111312.0,0.0003,0.004729463,0.2,-2.907347071915865,0.6541236042976379
34018.83637873,336.0,212992,104,17,11946,2586012.57265625,0.04169921875,-0.0038129467611724976,1030,-1.1920928955078125e-07,1603348.75,0.0003,0.0050939918,0.2,-2.896419012546539,0.6526126265525818
33956.5087003,336.0,215040,105,17,12062,3911112.74375,0.038037109375,-0.006090060626593186,1040,0.0,1973401.25,0.0003,0.0065638404,0.2,-2.886026727408171,0.6498997807502747
33905.972013340004,336.0,217088,106,17,12173,3157145.075,0.059619140625,-0.006976212275912985,1050,1.7881393432617188e-07,1749402.75,0.0003,0.0071030506,0.2,-2.8706968158483503,0.6461313962936401
33559.89330308,336.0,219136,107,17,12297,2502640.79765625,0.05595703125,-0.006285590904008131,1060,0.0,1509208.0,0.0003,0.006732079,0.2,-2.871793229877949,0.6491827964782715
33551.62386123,336.0,221184,108,17,12405,3194735.66015625,0.048046875,-0.0048050190423964525,1070,0.0,1707784.875,0.0003,0.0069930274,0.2,-2.8705565012991427,0.6454629302024841
33909.993141119994,336.0,223232,109,17,12525,3784496.60390625,0.03837890625,-0.0062477332161506634,1080,1.7881393432617188e-07,1964304.5,0.0003,0.005706667,0.2,-2.8568542838096618,0.6413741707801819
33600.23300304,336.0,225280,110,17,12659,3686113.67265625,0.076025390625,-0.007316418313712348,1090,1.7881393432617188e-07,2030455.75,0.0003,0.007825235,0.2,-2.840334551036358,0.6375468373298645
34007.182652560004,336.0,227328,111,17,12803,2928969.171875,0.056103515625,-0.0068008855530933944,1100,0.0,1636608.25,0.0003,0.0074393945,0.2,-2.8209242574870586,0.6332756876945496
33923.3699318,336.0,229376,112,17,12949,3720964.4234375,0.033740234375,-0.004649780527688563,1110,0.0,2203593.5,0.0003,0.0049643805,0.2,-2.802401155233383,0.6307544112205505
33805.382426059994,336.0,231424,113,17,13095,3630518.6078125,0.06123046875,-0.006600925266684499,1120,1.1920928955078125e-07,1956956.75,0.0003,0.006547244,0.2,-2.798032807558775,0.6319035887718201
34084.23558342,336.0,233472,114,17,13241,3048915.932421875,0.03876953125,-0.00442921408030088,1130,0.0,1453519.375,0.0003,0.0058256667,0.2,-2.792804296314716,0.6275337338447571
35028.72963395,336.0,235520,115,17,13357,3843413.7203125,0.03896484375,-0.004614559995388845,1140,5.960464477539063e-08,2093352.125,0.0003,0.005784099,0.2,-2.7780527740716936,0.6265673041343689
35267.644154019996,336.0,237568,116,17,13480,3690087.659375,0.039306640625,-0.004670412006089464,1150,5.960464477539063e-08,1728915.875,0.0003,0.005037547,0.2,-2.7703926123678686,0.6249297261238098
34979.08063641,336.0,239616,117,17,13604,3809420.58671875,0.0318359375,-0.0038572371297050266,1160,1.1920928955078125e-07,1553882.0,0.0003,0.0041014594,0.2,-2.76738006323576,0.6255635619163513
35091.38322235001,336.0,241664,118,17,13719,2847806.31015625,0.0302734375,-0.0032012227136874573,1170,1.1920928955078125e-07,1553357.5,0.0003,0.0055122934,0.2,-2.7665254682302476,0.6239565014839172
35354.0501225,336.0,243712,119,17,13832,4080272.7625,0.060400390625,-0.0025741170800756665,1180,5.960464477539063e-08,2447858.5,0.0003,0.0055823033,0.2,-2.7583651088178156,0.6225557327270508
35261.41726481,336.0,245760,120,17,13943,3063439.53984375,0.028564453125,-0.004233395718256361,1190,0.0,1587311.625,0.0003,0.004714397,0.2,-2.7532455012202264,0.6212242245674133
35600.15455241,336.0,247808,121,17,14054,3134894.13984375,0.05390625,-0.006024320691358298,1200,0.0,1323590.25,0.0003,0.0066012554,0.2,-2.757368226349354,0.6246304512023926
35744.48460737,336.0,249856,122,17,14172,4178957.54765625,0.062060546875,-0.0069975346959836315,1210,0.0,1920005.5,0.0003,0.00731445,0.2,-2.7535784229636193,0.6208038926124573
35927.38177865,336.0,251904,123,17,14279,3421057.6890625,0.06484375,-0.006205965245317202,1220,0.0,1623912.0,0.0003,0.0064584874,0.2,-2.742138607800007,0.620914876461029
35712.675506989995,336.0,253952,124,17,14381,2752796.036328125,0.066357421875,-0.0089281547232531,1230,1.1920928955078125e-07,1430212.0,0.0003,0.0070761247,0.2,-2.7300806820392607,0.6161154508590698
35860.93915559,336.0,256000,125,17,14482,2873905.9984375,0.05625,-0.00506582816306036,1240,1.7881393432617188e-07,1121346.25,0.0003,0.005681227,0.2,-2.718325188010931,0.6153869032859802
35750.08145572,336.0,258048,126,17,14583,3443350.46640625,0.04873046875,-0.0063253844688006215,1250,0.0,1815275.0,0.0003,0.0063857757,0.2,-2.7123893342912195,0.6137392520904541
35765.26726891,336.0,260096,127,17,14684,3435786.64453125,0.05400390625,-0.005250757923931815,1260,5.960464477539063e-08,1833878.25,0.0003,0.006481168,0.2,-2.704909796267748,0.6125434041023254
35620.0818683,336.0,262144,128,17,14785,3283053.61015625,0.038720703125,-0.004092352865700377,1270,-1.1920928955078125e-07,1951551.25,0.0003,0.0056078886,0.2,-2.7041683621704578,0.6140537261962891
36130.96898132999,336.0,264192,129,17,14887,3231984.83046875,0.037060546875,-0.004651122116774787,1280,0.0,1652591.75,0.0003,0.0060801078,0.2,-2.70075389072299,0.611200213432312
36337.72881181,336.0,266240,130,17,14988,4064719.54453125,0.026513671875,-0.003968128217093181,1290,5.960464477539063e-08,2256753.75,0.0003,0.005498065,0.2,-2.682660198956728,0.6059862971305847
35494.09421511,336.0,268288,131,17,15089,3640708.07265625,0.0634765625,-0.007050378383792122,1300,-1.1920928955078125e-07,1785614.875,0.0003,0.0077172816,0.2,-2.6662887312471866,0.6042411923408508
35946.309378,336.0,270336,132,17,15190,2378199.238671875,0.049951171875,-0.004901687271194532,1310,0.0,1433945.75,0.0003,0.0059975325,0.2,-2.6637322060763835,0.6061168313026428
35773.7909128,336.0,272384,133,17,15291,3909449.17734375,0.05400390625,-0.00590358153640409,1320,1.7881393432617188e-07,1807358.25,0.0003,0.0069299047,0.2,-2.664469826966524,0.6054528951644897
35956.475865270004,336.0,274432,134,17,15393,3278051.62734375,0.0294921875,-0.003181827221123967,1330,5.960464477539063e-08,1549382.375,0.0003,0.0041195666,0.2,-2.659480006247759,0.6037481427192688
35453.64435423,336.0,276480,135,17,15496,3728012.35234375,0.05048828125,-0.005357498848024988,1340,1.1920928955078125e-07,1605257.125,0.0003,0.006222766,0.2,-2.655020993947983,0.602663516998291
35589.8282909,336.0,278528,136,17,15597,2622182.3109375,0.074560546875,-0.0066148959056590685,1350,1.1920928955078125e-07,1272828.625,0.0003,0.0069760866,0.2,-2.6601673319935797,0.6057233810424805
