time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
12053,276480,336.0,135,43982.306337,22,0.6856343150138855,1340,-0.004533590699429624,0.0050309626,5361661.58046875,0.0314453125,0.2,0.0003,0.0,-3.108941189944744,2183504.0
12140,278528,336.0,136,43967.37868691001,22,0.6807897686958313,1350,-0.007589274777274113,0.006927778,5093500.4234375,0.048046875,0.2,0.0003,1.7881393432617188e-07,-3.089846437424421,2168955.5
12225,280576,336.0,137,44009.16066637,22,0.6821341514587402,1360,0.0032433764019515364,0.013422586,5296684.70703125,0.040234375,0.2,0.0003,0.0,-3.0830699056386948,2568420.5
12310,282624,336.0,138,44089.906333759995,22,0.6842921376228333,1370,-0.006048761704732897,0.004032022,5280263.13671875,0.03173828125,0.2,0.0003,0.0,-3.089137302339077,2880133.25
12397,284672,336.0,139,44141.67187255999,22,0.6821427345275879,1380,-0.0069236872011970265,0.0058391253,5523006.459375,0.041162109375,0.2,0.0003,0.0,-3.0868578031659126,3197456.25
12487,286720,336.0,140,44239.36450994,22,0.6818676590919495,1390,-0.004373869995470158,0.0061517595,5427159.35234375,0.048095703125,0.2,0.0003,0.0,-3.08071763291955,2666421.75
12578,288768,336.0,141,44352.94356861,22,0.6807500720024109,1400,-0.005416231974959373,0.0056714183,5549468.45625,0.043701171875,0.2,0.0003,0.0,-3.0750196777284144,2546915.25
12664,290816,336.0,142,44508.27046289999,22,0.6782247424125671,1410,-0.008972578511747997,0.0059472867,5749629.690625,0.060205078125,0.2,0.0003,-1.1920928955078125e-07,-3.0652447819709776,2947109.0
12750,292864,336.0,143,44574.88321756,22,0.6739340424537659,1420,-0.006617692217696458,0.0057685915,5827061.67578125,0.04140625,0.2,0.0003,1.1920928955078125e-07,-3.048637054860592,2946580.75
12836,294912,336.0,144,44710.122342409995,22,0.6726818084716797,1430,-0.004524314044101629,0.0034514987,5566791.76796875,0.019970703125,0.2,0.0003,0.0,-3.0372064843773843,2772427.75
12923,296960,336.0,145,44749.94941169,22,0.6737957000732422,1440,-0.004943142921547405,0.004808113,5638633.1609375,0.02890625,0.2,0.0003,0.0,-3.03791645988822,3264679.5
13009,299008,336.0,146,44906.872863929995,22,0.671942412853241,1450,-0.004846167783398414,0.0048094597,5891972.54375,0.032763671875,0.2,0.0003,5.960464477539063e-08,-3.036281877011061,2319723.0
13098,301056,336.0,147,45212.81185443,22,0.6705906987190247,1460,-0.007448015408590436,0.0056919395,6057170.09453125,0.049951171875,0.2,0.0003,1.1920928955078125e-07,-3.0264207012951374,2710196.75
13188,303104,336.0,148,45438.96520903999,22,0.6689278483390808,1470,-0.0035558473915443755,0.0038336208,6291250.01875,0.0169921875,0.2,0.0003,0.0,-3.0181244663894176,4015722.75
13284,305152,336.0,149,45629.69441824,22,0.6662797927856445,1480,-0.007903045415878296,0.006118562,6121183.5875,0.040478515625,0.2,0.0003,0.0,-3.008868703991175,2587616.75
13376,307200,336.0,150,45852.01643555002,22,0.6648831367492676,1490,-0.00560483201261377,0.004963913,6149758.1265625,0.02119140625,0.2,0.0003,0.0,-2.998108185827732,3052640.75
13463,309248,336.0,151,46054.91062645,22,0.6629512906074524,1500,-0.007468214248365257,0.007026665,6185274.3015625,0.0572265625,0.2,0.0003,1.1920928955078125e-07,-2.989797303825617,3284790.5
13552,311296,336.0,152,46370.5761976,22,0.6610223650932312,1510,-0.006289558928983752,0.0058679422,6319066.334375,0.04287109375,0.2,0.0003,5.960464477539063e-08,-2.9805725894868376,3630270.5
13639,313344,336.0,153,46659.51793686,22,0.6589351296424866,1520,-0.005412825974053704,0.0060046734,6095378.2609375,0.03359375,0.2,0.0003,1.1920928955078125e-07,-2.9726585328578947,2858799.0
13728,315392,336.0,154,46935.17454328001,22,0.6595173478126526,1530,-0.00227996869944036,0.0023302264,6374068.5953125,0.006591796875,0.2,0.0003,0.0,-2.969081585109234,3584405.0
13819,317440,336.0,155,47059.97486571,22,0.6591757535934448,1540,-0.0037265934588504024,0.0045700413,6295255.659375,0.022509765625,0.2,0.0003,0.0,-2.969390404224396,3179656.0
13905,319488,336.0,156,47299.497997210005,22,0.6574410796165466,1550,-0.005739688464382197,0.0048536677,6108575.5390625,0.026123046875,0.2,0.0003,-1.1920928955078125e-07,-2.962794290482998,2776081.0
13990,321536,336.0,157,47531.554927009995,22,0.6546700596809387,1560,-0.011778998383670114,0.007829484,6495356.5546875,0.086083984375,0.2,0.0003,-1.1920928955078125e-07,-2.9501037381589414,3244065.25
14075,323584,336.0,158,47742.843174609996,22,0.6546114087104797,1570,-0.007957773472298868,0.006931659,6695673.31875,0.06435546875,0.2,0.0003,0.0,-2.944918842613697,3433074.5
14160,325632,336.0,159,47989.10066333,22,0.6503827571868896,1580,-0.009188914322294295,0.006243676,6627034.671875,0.04306640625,0.2,0.0003,0.0,-2.9331430427730085,3723250.75
14245,327680,336.0,160,48229.77049625998,23,0.6506187319755554,1590,-0.006439819335355423,0.0047195223,6532326.859375,0.04677734375,0.2,0.0003,1.1920928955078125e-07,-2.924181980639696,3165477.0
14331,329728,336.0,161,48528.986554489995,23,0.6497665047645569,1600,-0.0055509387486381455,0.0049855188,6908622.325,0.03662109375,0.2,0.0003,0.0,-2.922776786237955,3341768.0
14421,331776,336.0,162,48665.33262949999,23,0.6451879143714905,1610,-0.009282751321734395,0.0060466602,7059654.6140625,0.0513671875,0.2,0.0003,1.1920928955078125e-07,-2.911398646235466,3229727.5
14511,333824,336.0,163,48903.67287837001,23,0.6437577605247498,1620,-0.006425870511156973,0.0051533873,6924044.065625,0.037060546875,0.2,0.0003,1.1920928955078125e-07,-2.8975809544324873,3437783.25
14601,335872,336.0,164,49021.42876050001,23,0.6447636485099792,1630,-0.004057230532635003,0.0073654116,7165783.45,0.056201171875,0.2,0.0003,0.0,-2.897106634825468,3046040.0
14691,337920,336.0,165,49345.71089198,23,0.6448302865028381,1640,-0.005042122445593123,0.0040430436,7197862.4609375,0.029150390625,0.2,0.0003,0.0,-2.8987543880939484,3825730.25
14778,339968,336.0,166,49455.446624489996,23,0.6417714953422546,1650,-0.00632285445171874,0.0060801385,7257092.60625,0.040283203125,0.2,0.0003,0.0,-2.890183797478676,4025056.0
14868,342016,336.0,167,49692.04492628999,23,0.6369708180427551,1660,-0.005428627532091923,0.0043421863,7041939.43125,0.031103515625,0.2,0.0003,0.0,-2.8714349530637264,3273403.0
14958,344064,336.0,168,49877.279386459995,23,0.6366129517555237,1670,0.005995185027131811,0.023119941,7177094.9921875,0.127880859375,0.2,0.0003,1.1920928955078125e-07,-2.8569325618445873,3708948.0
15049,346112,336.0,169,50102.903921640005,22,0.6338503956794739,1680,-0.006193751520186197,0.0066154907,7199772.06875,0.0505859375,0.2,0.0003,0.0,-2.8487592794001104,3390957.25
15137,348160,336.0,170,50319.815932770005,23,0.6310381889343262,1690,-0.008020895280060359,0.006288836,7552141.5421875,0.056005859375,0.2,0.0003,0.0,-2.8370518080890177,3236203.0
15227,350208,336.0,171,50578.50010273001,22,0.6283134818077087,1700,-0.004784769000252709,0.0046791295,7687821.2265625,0.031201171875,0.2,0.0003,0.0,-2.8247563049197195,3998098.25
15315,352256,336.0,172,50955.28501559999,23,0.6268360614776611,1710,-0.0068681024997204075,0.0062654987,7650116.08125,0.048486328125,0.2,0.0003,1.1920928955078125e-07,-2.815526000410318,3708976.25
15404,354304,336.0,173,51122.974649719996,23,0.6265630722045898,1720,-0.005087995289068203,0.0044917027,7833818.9375,0.03037109375,0.2,0.0003,1.1920928955078125e-07,-2.812412617355585,3398647.25
15493,356352,336.0,174,51290.560193529986,23,0.6243509650230408,1730,-0.006013165666081477,0.003922852,7590039.7890625,0.018505859375,0.2,0.0003,0.0,-2.806316888332367,3480745.5
15580,358400,336.0,175,51484.87086579999,23,0.622211754322052,1740,-0.007537064951611683,0.0069987243,7614882.8890625,0.0603515625,0.2,0.0003,0.0,-2.7951227866113184,4115618.25
15666,360448,336.0,176,51757.493424939996,23,0.6207392811775208,1750,-0.006262381048873067,0.005451012,7565078.9109375,0.030029296875,0.2,0.0003,0.0,-2.787627896666527,2629877.25
15753,362496,336.0,177,51852.389218230004,23,0.6202326416969299,1760,-0.003983138220792171,0.0044101565,7796875.1765625,0.0240234375,0.2,0.0003,1.7881393432617188e-07,-2.7843823343515397,3591669.25
15841,364544,336.0,178,52032.47430156999,23,0.6188926100730896,1770,-0.007098634980502538,0.005548906,7578951.6,0.0380859375,0.2,0.0003,0.0,-2.779082340747118,3639067.0
15931,366592,336.0,179,52188.19892239999,23,0.6175269484519958,1780,-0.00943499582936056,0.006943726,7579107.934375,0.061328125,0.2,0.0003,1.1920928955078125e-07,-2.7725512512028216,3676022.0
16021,368640,336.0,180,52362.815566029996,23,0.6192823052406311,1790,-0.004943436551548075,0.0049884263,7857764.5765625,0.040576171875,0.2,0.0003,0.0,-2.773392368108034,3978720.5
16112,370688,336.0,181,52400.97631581999,23,0.6188241839408875,1800,-0.0063119029713561755,0.005405914,7900777.603125,0.038330078125,0.2,0.0003,1.1920928955078125e-07,-2.7763633422553537,3343407.0
16203,372736,336.0,182,52552.08921542,23,0.6164996027946472,1810,-0.0043297602911479775,0.004509526,7619450.2375,0.02744140625,0.2,0.0003,0.0,-2.768504972755909,3931772.25
16293,374784,336.0,183,52719.59277505001,23,0.6136181950569153,1820,-0.006040338287129998,0.0040186867,7673718.8109375,0.029296875,0.2,0.0003,0.0,-2.753699038922787,5275670.0
16384,376832,336.0,184,52878.12607551001,22,0.6117300987243652,1830,-0.006595309816475492,0.0055924174,8270125.796875,0.03818359375,0.2,0.0003,0.0,-2.739640586078167,4204830.5
16472,378880,336.0,185,52974.92894648001,23,0.6101687550544739,1840,-0.0033714843782945538,0.003601316,7741857.109375,0.014990234375,0.2,0.0003,0.0,-2.731086665391922,4321660.0
16558,380928,336.0,186,53082.87826265001,23,0.6080823540687561,1850,-0.005616167030530051,0.0063442322,7570358.7390625,0.040966796875,0.2,0.0003,-1.1920928955078125e-07,-2.7211286634206773,3362291.0
16646,382976,336.0,187,53137.966627309994,23,0.6055445075035095,1860,-0.004447673633694649,0.004363465,7906543.209375,0.030908203125,0.2,0.0003,1.1920928955078125e-07,-2.708940152078867,3858865.0
16734,385024,336.0,188,53230.725170770005,23,0.6047958731651306,1870,-0.005926519306376577,0.0053210035,7777653.1734375,0.03154296875,0.2,0.0003,0.0,-2.699895063787699,4585003.0
16823,387072,336.0,189,53237.93844416,23,0.6015939116477966,1880,-0.00476852544452413,0.004603314,8020636.36875,0.02119140625,0.2,0.0003,1.1920928955078125e-07,-2.6915376022458077,4031619.25
16916,389120,336.0,190,53294.916103640004,23,0.6013596653938293,1890,-0.007461849629180506,0.0060420437,7673984.1890625,0.048779296875,0.2,0.0003,1.7881393432617188e-07,-2.6833042934536935,4279440.0
17012,391168,336.0,191,53372.98177965999,22,0.6010169386863708,1900,-0.00437409828446107,0.0036533521,7582905.2890625,0.0171875,0.2,0.0003,1.1920928955078125e-07,-2.6804882057011126,4218904.0
17107,393216,336.0,192,53433.93053710001,22,0.6030305027961731,1910,-0.005543291149660945,0.005009073,7822911.0765625,0.0298828125,0.2,0.0003,0.0,-2.6820636630058288,4057421.75
17218,395264,336.0,193,53504.04455282,22,0.604114830493927,1920,-0.00784640892088646,0.005667595,7850862.728125,0.0517578125,0.2,0.0003,-2.384185791015625e-07,-2.688305488973856,3902601.75
17331,397312,336.0,194,53654.2426283,22,0.6039047241210938,1930,-0.004831883538281545,0.004547878,7762834.0359375,0.032861328125,0.2,0.0003,2.384185791015625e-07,-2.6898500353097914,3314245.25
17436,399360,336.0,195,53734.09097691,22,0.6003680229187012,1940,-0.00482566192295053,0.004275391,8042081.990625,0.024169921875,0.2,0.0003,0.0,-2.6819427728652956,3718379.5
17549,401408,336.0,196,53762.629988590015,22,0.5983618497848511,1950,-0.0074802632792852815,0.0058883177,7932270.1921875,0.04912109375,0.2,0.0003,-1.1920928955078125e-07,-2.66993625164032,4619160.0
17641,403456,336.0,197,53842.1772726,22,0.5986025929450989,1960,-0.0068304774176795036,0.00554403,7733658.509375,0.0443359375,0.2,0.0003,0.0,-2.6662663400173185,4614482.5
17731,405504,336.0,198,53935.362295880004,22,0.6016736030578613,1970,-0.007022432019584812,0.0061127036,7664255.8890625,0.040966796875,0.2,0.0003,1.1920928955078125e-07,-2.674106524139643,3030052.0
17819,407552,336.0,199,53969.323611130014,22,0.599599301815033,1980,-0.006003534892806783,0.0050160475,8016078.6828125,0.037109375,0.2,0.0003,0.0,-2.6769230887293816,4058659.0
17907,409600,336.0,200,53980.446757620004,22,0.6001575589179993,1990,-0.005111623523407616,0.005218538,7524305.2671875,0.029736328125,0.2,0.0003,1.1920928955078125e-07,-2.6712909027934075,3804168.5
17994,411648,336.0,201,54119.170644989994,22,0.6005995273590088,2000,-0.0072032002484775145,0.0059993463,7912079.3015625,0.042138671875,0.2,0.0003,-1.1920928955078125e-07,-2.670850357413292,4171535.75
18080,413696,336.0,202,54149.471868910005,22,0.5983470678329468,2010,-0.006171247742895502,0.004884055,8253110.3015625,0.037548828125,0.2,0.0003,0.0,-2.6655865348875523,3560535.5
18167,415744,336.0,203,54213.22845725999,22,0.5981943607330322,2020,-0.0045734778061159885,0.0043982565,7989540.7578125,0.019384765625,0.2,0.0003,1.7881393432617188e-07,-2.657892818748951,3854881.0
18254,417792,336.0,204,54217.196772120005,22,0.5988821387290955,2030,-0.007372806001512799,0.008053129,7774430.0203125,0.071923828125,0.2,0.0003,0.0,-2.65646620541811,4384833.0
18342,419840,336.0,205,54364.80640029,22,0.5983371138572693,2040,-0.006101608921017032,0.004948149,7990418.3453125,0.035107421875,0.2,0.0003,0.0,-2.6549005940556527,4318100.5
18429,421888,336.0,206,54510.12825287,22,0.5969612002372742,2050,-0.004575633746571839,0.004279824,8226833.6375,0.02841796875,0.2,0.0003,1.1920928955078125e-07,-2.6503515899181367,4033352.0
18516,423936,336.0,207,54552.98014524,22,0.5947683453559875,2060,-0.004991544803488068,0.004797927,8231295.0125,0.02529296875,0.2,0.0003,1.1920928955078125e-07,-2.643768309056759,4157535.25
18603,425984,336.0,208,54618.14852962999,22,0.5925240516662598,2070,-0.006179075936233858,0.006808129,7903573.9859375,0.0474609375,0.2,0.0003,0.0,-2.633056151121855,3996523.5
18689,428032,336.0,209,54713.24873763,22,0.5904672145843506,2080,-0.004104414235189324,0.004208888,7949508.0328125,0.031298828125,0.2,0.0003,0.0,-2.6241793356835843,4210656.0
18776,430080,336.0,210,54773.110075000004,22,0.5910360217094421,2090,-0.006892731206608005,0.0052795713,8132726.89375,0.0501953125,0.2,0.0003,-1.1920928955078125e-07,-2.620446626096964,3281349.0
18865,432128,336.0,211,54789.48926542001,22,0.5888669490814209,2100,-0.003455185575876385,0.0050509935,8173645.6171875,0.030517578125,0.2,0.0003,1.7881393432617188e-07,-2.6162834741175174,3721880.5
18951,434176,336.0,212,54876.87244182999,22,0.5868372321128845,2110,-0.007550540553347673,0.005746781,8188861.015625,0.046337890625,0.2,0.0003,0.0,-2.6044023655354978,3542745.5
19037,436224,336.0,213,54970.31643924998,22,0.5851938724517822,2120,-0.003254196560010314,0.00313688,8350365.578125,0.010205078125,0.2,0.0003,0.0,-2.5941539011895656,3358562.5
19127,438272,336.0,214,55089.84320114,22,0.5830169320106506,2130,-0.006974254058150109,0.005351622,8237973.3875,0.034765625,0.2,0.0003,1.1920928955078125e-07,-2.585442701727152,3840548.5
19222,440320,336.0,215,55194.13158163,22,0.5803363919258118,2140,-0.006501095996645745,0.0045680255,8226240.946875,0.036279296875,0.2,0.0003,1.1920928955078125e-07,-2.5735865361988544,3378470.5
19316,442368,336.0,216,55272.00944172,22,0.577460765838623,2150,-0.005162736549391411,0.004560628,8212382.5953125,0.028076171875,0.2,0.0003,0.0,-2.557223242521286,3302001.0
19408,444416,336.0,217,55313.49944735,22,0.576987087726593,2160,-0.005027180333854631,0.0046498403,8187066.88125,0.02900390625,0.2,0.0003,-1.1920928955078125e-07,-2.5471914283931256,4200635.5
19508,446464,336.0,218,55337.91377175,22,0.5750773549079895,2170,-0.005583096649206709,0.005257214,7946880.825,0.033154296875,0.2,0.0003,-1.1920928955078125e-07,-2.53948293402791,4544175.5
19632,448512,336.0,219,55425.70541781999,22,0.575361430644989,2180,-0.004609337724104989,0.005145414,8130015.3515625,0.03271484375,0.2,0.0003,0.0,-2.5352245666086675,4320685.5
19747,450560,336.0,220,55538.31554275,22,0.5706390142440796,2190,-0.0071326340534142215,0.0054013515,8074722.2265625,0.04453125,0.2,0.0003,1.1920928955078125e-07,-2.523645403236151,4569804.5
19847,452608,336.0,221,55510.20800938,22,0.5706707239151001,2200,-0.004816090867097955,0.003951315,8151414.45625,0.021728515625,0.2,0.0003,-1.1920928955078125e-07,-2.5127238012850284,4452427.5
19960,454656,336.0,222,55435.26980765001,22,0.570301353931427,2210,-0.0031013391620945186,0.004109352,7912909.8671875,0.013427734375,0.2,0.0003,0.0,-2.511750641465187,3975470.25
20054,456704,336.0,223,55441.72372421999,22,0.5677744150161743,2220,-0.007685285701882094,0.0058929333,7661985.8953125,0.048974609375,0.2,0.0003,1.1920928955078125e-07,-2.5016583621501924,4155341.0
20148,458752,336.0,224,55414.85358576999,22,0.5679991841316223,2230,-0.006234099142602645,0.0052954047,7779033.6859375,0.041845703125,0.2,0.0003,0.0,-2.495087373256683,3764871.0
20238,460800,336.0,225,55355.536557859996,22,0.5627717971801758,2240,-0.005304364883340895,0.004629423,7686156.9453125,0.03505859375,0.2,0.0003,-1.1920928955078125e-07,-2.4829572468996046,3435834.5
20327,462848,336.0,226,55302.19812427,22,0.562058687210083,2250,-0.004256089795671869,0.0041501685,7549301.809375,0.026220703125,0.2,0.0003,0.0,-2.4683426953852177,3841226.25
20416,464896,336.0,227,55271.08851593,22,0.5626735687255859,2260,-0.004600106783618685,0.0047745947,7589557.66875,0.023193359375,0.2,0.0003,0.0,-2.4690661296248435,3515059.75
20504,466944,336.0,228,55230.645856569994,22,0.5624933242797852,2270,-0.006265576922305627,0.0073280176,7613710.35,0.050537109375,0.2,0.0003,0.0,-2.4724706813693045,3067867.5
20594,468992,336.0,229,55184.01322803001,22,0.5612208247184753,2280,-0.005632706843607593,0.004661371,7586249.83125,0.024609375,0.2,0.0003,2.384185791015625e-07,-2.470464839041233,3495950.0
20681,471040,336.0,230,55092.18219349,22,0.5595222115516663,2290,-0.0064939054936985485,0.006141308,7628266.18125,0.049169921875,0.2,0.0003,1.1920928955078125e-07,-2.464743352681398,5267307.5
20771,473088,336.0,231,55135.36271921,22,0.5561385154724121,2300,-0.008753146341769024,0.0063276477,7893873.1546875,0.062646484375,0.2,0.0003,0.0,-2.4510310031473637,4313380.0
20862,475136,336.0,232,55062.30997109,22,0.5536347031593323,2310,-0.0066077414274332115,0.005356169,8032954.85625,0.0474609375,0.2,0.0003,0.0,-2.4341945469379427,3657792.0
20950,477184,336.0,233,55089.6241153,22,0.5525959134101868,2320,-0.006307023507542908,0.005584374,7784689.9703125,0.037451171875,0.2,0.0003,0.0,-2.424055553227663,4697030.0
21039,479232,336.0,234,54997.64164880001,22,0.5523796677589417,2330,-0.00296069311152678,0.0033456502,8221150.559375,0.01396484375,0.2,0.0003,1.1920928955078125e-07,-2.4222533188760282,4458998.0
21129,481280,336.0,235,55059.05902272999,22,0.553755521774292,2340,-0.008213875749788713,0.00588952,7709394.309375,0.03701171875,0.2,0.0003,0.0,-2.428365992754698,3512269.0
21219,483328,336.0,236,55054.91887141,22,0.549037754535675,2350,-0.005368648812873289,0.0044161906,8162716.2484375,0.025146484375,0.2,0.0003,0.0,-2.420297606289387,4514703.0
21309,485376,336.0,237,55122.92188403,22,0.5482983589172363,2360,-0.004083263632492162,0.004674469,8111806.4796875,0.02392578125,0.2,0.0003,1.7881393432617188e-07,-2.403640079498291,4961981.5
21399,487424,336.0,238,55183.98670173,22,0.5472872257232666,2370,-0.00842736119084293,0.006760561,8247586.03125,0.057421875,0.2,0.0003,0.0,-2.3956027165055276,4839702.0
21486,489472,336.0,239,55232.47718024999,22,0.5456435084342957,2380,-0.005255477078026161,0.0050845128,7856974.928125,0.034912109375,0.2,0.0003,1.1920928955078125e-07,-2.3874517008662224,3307320.75
21575,491520,336.0,240,55311.947747020015,22,0.5424707531929016,2390,-0.00691285368957324,0.0052347775,8013820.3453125,0.05400390625,0.2,0.0003,0.0,-2.374172762781382,4239978.0
21664,493568,336.0,241,55395.28191555001,22,0.5422452092170715,2400,-0.007280473191349302,0.0064731594,8045008.1828125,0.048193359375,0.2,0.0003,0.0,-2.364890843629837,5248974.5
21752,495616,336.0,242,55494.98259593,22,0.5400131344795227,2410,-0.0058195258214254865,0.0054127676,8116531.3140625,0.027734375,0.2,0.0003,1.7881393432617188e-07,-2.3570389285683633,4039493.5
21837,497664,336.0,243,55481.9867828,22,0.5394644141197205,2420,-0.0064118728980247395,0.0055891965,7849203.2515625,0.03408203125,0.2,0.0003,0.0,-2.348179013282061,3581546.75
21921,499712,336.0,244,55502.07367906001,22,0.5388498902320862,2430,-0.00013196646759752184,0.0055910703,7942552.4609375,0.0376953125,0.2,0.0003,0.0,-2.3436538413167,3571934.75
22005,501760,336.0,245,55487.94911009,22,0.5391335487365723,2440,-0.005325775251549203,0.0041362112,7659574.2109375,0.02939453125,0.2,0.0003,-1.1920928955078125e-07,-2.3402455747127533,3468634.0
22089,503808,336.0,246,55471.25687700999,22,0.5397754311561584,2450,-0.005710646536317654,0.0048452946,7636268.9734375,0.0287109375,0.2,0.0003,2.384185791015625e-07,-2.340609809756279,4112615.25
22173,505856,336.0,247,55475.14619786,22,0.5383618474006653,2460,-0.005209387252398301,0.0046817455,7661380.928125,0.030810546875,0.2,0.0003,0.0,-2.337181294709444,4246068.0
22260,507904,336.0,248,55423.76898271001,22,0.5360936522483826,2470,-0.005170991242630407,0.004685225,7728728.390625,0.03251953125,0.2,0.0003,-1.1920928955078125e-07,-2.3256339147686957,3896525.5
22350,509952,336.0,249,55434.30852251999,22,0.5329634547233582,2480,-0.005225152781349607,0.0058244136,7586269.4125,0.033984375,0.2,0.0003,1.7881393432617188e-07,-2.3124742820858954,4093729.25
22440,512000,336.0,250,55492.56402483,22,0.5334538817405701,2490,-0.00610817203996703,0.004457721,7734636.4015625,0.026953125,0.2,0.0003,1.1920928955078125e-07,-2.3038446798920633,3351223.5
22531,514048,336.0,251,55489.688906690004,22,0.5352084040641785,2500,-0.00673101813881658,0.005230164,7982530.8328125,0.048974609375,0.2,0.0003,0.0,-2.3069781251251698,2972910.5
22622,516096,336.0,252,55429.202758620006,22,0.5311055183410645,2510,-0.0062155668463674376,0.004839489,7872480.103125,0.0255859375,0.2,0.0003,-1.1920928955078125e-07,-2.2993221931159495,4483798.0
22712,518144,336.0,253,55384.272663890006,22,0.5296011567115784,2520,-0.0055363827996188775,0.0044155763,7738537.45,0.029833984375,0.2,0.0003,0.0,-2.2816989451646803,4544351.0
22802,520192,336.0,254,55404.66780925,22,0.5276250243186951,2530,-0.007996558719605673,0.0072130933,7699467.2703125,0.071337890625,0.2,0.0003,1.1920928955078125e-07,-2.2727407358586786,3434830.75
22892,522240,336.0,255,55418.934223100005,22,0.5296211838722229,2540,-0.007230589707614854,0.0064757573,8115693.134375,0.043359375,0.2,0.0003,0.0,-2.275177974253893,3718672.25
22982,524288,336.0,256,55415.59036588,22,0.5294404625892639,2550,-0.005234171207121108,0.0049035717,7907209.2953125,0.03173828125,0.2,0.0003,-1.1920928955078125e-07,-2.2807983055710794,4729088.0
23073,526336,336.0,257,55371.09566741,22,0.529679536819458,2560,0.00602193167724181,0.013305772,7759303.4640625,0.108740234375,0.2,0.0003,1.1920928955078125e-07,-2.2818750493228435,4194886.0
23163,528384,336.0,258,55411.46127978001,22,0.5302711725234985,2570,-0.006173604757350404,0.0047432017,7877867.0640625,0.023681640625,0.2,0.0003,-2.384185791015625e-07,-2.285186003893614,3233894.5
23253,530432,336.0,259,55432.88803815999,22,0.5318501591682434,2580,-0.00533072527468903,0.005501225,7717388.1609375,0.04140625,0.2,0.0003,0.0,-2.2914020366966725,3530112.75
23341,532480,336.0,260,55498.98655221,22,0.5295366048812866,2590,-0.004984540721488883,0.005188895,7861356.215625,0.042138671875,0.2,0.0003,1.1920928955078125e-07,-2.289759537577629,3450871.75
23428,534528,336.0,261,55563.05828162,22,0.5316830277442932,2600,-0.005944233736954629,0.005058109,7879496.434375,0.029345703125,0.2,0.0003,0.0,-2.2874210081994533,4297973.5
23513,536576,336.0,262,55631.00787154001,22,0.5287401080131531,2610,-0.005114697979297489,0.00536433,7916348.65,0.035595703125,0.2,0.0003,0.0,-2.284703603386879,3762928.5
23600,538624,336.0,263,55688.46113557,22,0.5260009765625,2620,-0.008264510505250655,0.0061073005,8001704.0734375,0.049609375,0.2,0.0003,0.0,-2.2695174127817155,3826102.75
23687,540672,336.0,264,55771.37693812,22,0.5253229141235352,2630,-0.005296001468377653,0.0051643983,7838406.0671875,0.036669921875,0.2,0.0003,0.0,-2.2600559674203398,3867525.25
23776,542720,336.0,265,55875.533075529995,22,0.5252468585968018,2640,-0.004740379277791362,0.004030292,8072401.85625,0.0279296875,0.2,0.0003,0.0,-2.256643822044134,4129735.75
23867,544768,336.0,266,55901.10439108,22,0.5228567719459534,2650,-0.005544771820132155,0.0045908773,7965979.71875,0.03310546875,0.2,0.0003,0.0,-2.2480231948196887,3790007.5
23956,546816,336.0,267,55974.35844822001,22,0.5229185223579407,2660,-0.005616516576264985,0.0043376414,7822077.309375,0.019775390625,0.2,0.0003,0.0,-2.2392013989388944,4125808.5
24045,548864,336.0,268,56020.25188036999,22,0.5213911533355713,2670,-0.007827618546434678,0.005761476,8404740.3609375,0.061865234375,0.2,0.0003,0.0,-2.23339554220438,3953553.5
24133,550912,336.0,269,56177.972009389996,22,0.5187730193138123,2680,-0.0061379668899462555,0.004390546,8010000.5234375,0.03798828125,0.2,0.0003,1.1920928955078125e-07,-2.2223038718104364,3458327.0
24222,552960,336.0,270,56184.35680654,22,0.5177116990089417,2690,-0.006859027648170013,0.0059095975,8295441.721875,0.051025390625,0.2,0.0003,-1.1920928955078125e-07,-2.213404919207096,3855289.25
24308,555008,336.0,271,56158.32736107,22,0.5180783271789551,2700,-0.008657830198353622,0.0061147036,7998680.1078125,0.055224609375,0.2,0.0003,0.0,-2.209335645288229,4455219.0
24394,557056,336.0,272,56258.18400417,22,0.5161359906196594,2710,-0.005705091783602257,0.0045114392,8048474.1796875,0.02861328125,0.2,0.0003,1.7881393432617188e-07,-2.205689437687397,4270269.0
24483,559104,336.0,273,56330.26460734,22,0.5145899653434753,2720,-0.005694117883103899,0.005212377,8105137.8390625,0.038037109375,0.2,0.0003,1.1920928955078125e-07,-2.196658308804035,4078723.0
24572,561152,336.0,274,56380.08521392999,22,0.5139065384864807,2730,-0.007381514390726806,0.006466768,8060836.0109375,0.056640625,0.2,0.0003,-1.1920928955078125e-07,-2.1901912070810794,3823853.0
24659,563200,336.0,275,56441.51049137001,22,0.5137856602668762,2740,-0.005547401492367499,0.0042524766,8072965.5171875,0.04765625,0.2,0.0003,0.0,-2.186692990362644,3698150.75
24745,565248,336.0,276,56500.09533559999,22,0.513515055179596,2750,-0.0031086885486729444,0.009383383,8235776.7921875,0.102685546875,0.2,0.0003,1.1920928955078125e-07,-2.1850985191762446,3796479.25
24829,567296,336.0,277,56546.37391444,22,0.5137115120887756,2760,-0.008292098750825972,0.006887409,8087334.9625,0.048681640625,0.2,0.0003,0.0,-2.186004193127155,4659418.0
