time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
4130,94208,336.0,46,26105.576132439997,22,0.8576638102531433,450,-0.008041165983013344,0.006665988,2873594.561328125,0.055517578125,0.2,0.0003,0.0006844997406005859,-3.7944584362208844,1112724.375
4218,96256,336.0,47,26655.958430220006,22,0.8535599708557129,460,-0.003949772929627215,0.0044516255,2924293.35859375,0.02314453125,0.2,0.0003,0.00047647953033447266,-3.7805585980415346,1231747.75
4306,98304,336.0,48,27249.733897510003,22,0.8507137894630432,470,-0.007402207916311454,0.0066269906,2838087.3140625,0.044677734375,0.2,0.0003,0.0003127455711364746,-3.766185127198696,1288325.25
4396,100352,336.0,49,27813.387678210005,22,0.8440788388252258,480,-0.0033060760513762945,0.00686785,2912910.753125,0.0494140625,0.2,0.0003,0.00023227930068969727,-3.749415899813175,1308022.5
4487,102400,336.0,50,28353.602043580002,22,0.8408891558647156,490,-0.009657420688017736,0.0066967504,2935962.77109375,0.05908203125,0.2,0.0003,2.1755695343017578e-05,-3.731961967051029,1378953.625
4578,104448,336.0,51,28832.124796579996,22,0.8412764072418213,500,-0.0019061783896177076,0.0062173493,2936840.509765625,0.046826171875,0.2,0.0003,0.00022858381271362305,-3.7270070374011994,1523508.75
4666,106496,336.0,52,29282.95989172,22,0.839932918548584,510,-0.006895144691952737,0.005727957,3028501.05859375,0.046240234375,0.2,0.0003,0.00011628866195678711,-3.7262027852237223,1499451.0
4752,108544,336.0,53,29751.589853480004,22,0.8407674431800842,520,-0.00451020518084988,0.0044641513,3154355.175,0.02138671875,0.2,0.0003,8.565187454223633e-05,-3.7255892649292948,1634468.25
4841,110592,336.0,54,30156.191199450004,22,0.8356785774230957,530,-0.005981268652249128,0.005693528,2994397.028515625,0.027734375,0.2,0.0003,0.0001437664031982422,-3.716507080197334,1326312.875
4931,112640,336.0,55,30614.34742066,22,0.8324113488197327,540,-0.004504320972773712,0.004016799,3097942.1296875,0.018017578125,0.2,0.0003,1.8775463104248047e-05,-3.702018038183451,1319482.75
5021,114688,336.0,56,31003.666426459997,22,0.8246204257011414,550,-0.008740148780634626,0.007124508,3191788.4484375,0.05908203125,0.2,0.0003,1.0848045349121094e-05,-3.6818034373223782,1558106.375
5112,116736,336.0,57,31374.25681254,22,0.8222985863685608,560,-0.004242805333342403,0.0053026145,3240304.621875,0.027734375,0.2,0.0003,0.0002906322479248047,-3.663371755182743,1679827.0
5202,118784,336.0,58,31764.38979797,22,0.8187444806098938,570,-0.005235486329183914,0.005111535,3255925.665234375,0.026806640625,0.2,0.0003,5.185604095458984e-06,-3.6520357839763165,1611994.75
5294,120832,336.0,59,32096.946198370006,22,0.8172597885131836,580,-0.004225540567131247,0.003496137,3382777.67734375,0.019482421875,0.2,0.0003,4.708766937255859e-06,-3.64273741170764,1769821.5
5385,122880,336.0,60,32421.49613054,22,0.8164136409759521,590,-0.006677424747613259,0.005789558,3442635.26796875,0.044091796875,0.2,0.0003,4.172325134277344e-06,-3.638101893663406,1660925.125
5475,124928,336.0,61,32741.821939199996,22,0.8181633353233337,600,-0.0035651623999001457,0.006778311,3501030.22421875,0.05693359375,0.2,0.0003,0.00013184547424316406,-3.6392231702804567,2006085.375
5564,126976,336.0,62,32975.26133926,22,0.8186407685279846,610,-0.00412956304353429,0.0055599017,3453249.334375,0.030419921875,0.2,0.0003,2.2649765014648438e-06,-3.643758926540613,1694563.75
5653,129024,336.0,63,33325.65513433,22,0.8175380825996399,620,-0.006128054553119,0.0061072954,3605458.42265625,0.046923828125,0.2,0.0003,2.205371856689453e-06,-3.6430144153535364,1959898.375
5742,131072,336.0,64,33621.23807825,22,0.8157805800437927,630,-0.005033624254429015,0.004911669,3557462.78046875,0.0267578125,0.2,0.0003,2.3245811462402344e-06,-3.6372426941990854,1767129.5
5832,133120,336.0,65,33932.16665377,22,0.8112408518791199,640,-0.006753924109216314,0.004434465,3586581.7953125,0.039990234375,0.2,0.0003,6.490945816040039e-05,-3.6241045966744423,1680815.75
5923,135168,336.0,66,34233.62181832,22,0.8047577738761902,650,-0.006424553326360183,0.0058135903,3788479.56328125,0.034375,0.2,0.0003,3.415346145629883e-05,-3.603659027814865,1628456.375
6014,137216,336.0,67,34508.22593297,22,0.8021996021270752,660,-0.0055195380016812125,0.006028643,3766301.3453125,0.041455078125,0.2,0.0003,1.3113021850585938e-06,-3.5866425685584544,2119878.5
6104,139264,336.0,68,34759.138635639996,22,0.8018856644630432,670,-0.0052689973192173055,0.0050761425,3838092.9328125,0.034912109375,0.2,0.0003,7.152557373046875e-07,-3.5824977487325667,1785119.875
6191,141312,336.0,69,34963.4989818,22,0.7970438003540039,680,-0.005356206060969271,0.0049198424,3710897.45234375,0.032470703125,0.2,0.0003,5.364418029785156e-07,-3.572795545309782,2014284.75
6276,143360,336.0,70,35290.76161903,22,0.7934624552726746,690,-0.005200756900012493,0.0044003273,3670278.80546875,0.02568359375,0.2,0.0003,1.1324882507324219e-06,-3.5567765846848487,1729432.125
6361,145408,336.0,71,35508.20531525,22,0.7974005341529846,700,-0.007402623064990621,0.0059753014,3781204.48359375,0.039013671875,0.2,0.0003,4.76837158203125e-06,-3.5572919867932797,2078588.25
6445,147456,336.0,72,35677.997660919995,22,0.7916273474693298,710,-0.007802697723673191,0.006516114,3872395.62265625,0.05595703125,0.2,0.0003,2.980232238769531e-07,-3.553610250353813,1502627.0
6530,149504,336.0,73,35947.71342204,22,0.7863197326660156,720,-0.005135884603078011,0.004949375,3816119.1453125,0.031884765625,0.2,0.0003,2.384185791015625e-07,-3.532976084202528,2229727.5
6618,151552,336.0,74,36186.764523900005,22,0.7857985496520996,730,-0.005650424755003769,0.004932691,3986696.4203125,0.036962890625,0.2,0.0003,2.980232238769531e-07,-3.522638627886772,1918488.75
6706,153600,336.0,75,36476.69026239,22,0.7859129905700684,740,-0.0043971982617222235,0.0043085674,4171078.47578125,0.019580078125,0.2,0.0003,2.980232238769531e-07,-3.5209864519536493,2122347.5
6795,155648,336.0,76,36675.45851482,22,0.7819840312004089,750,-0.006268402755085845,0.0071990406,4263384.9984375,0.070068359375,0.2,0.0003,2.980232238769531e-07,-3.5117989011108874,2103878.0
6884,157696,336.0,77,36833.46683988,22,0.7780687212944031,760,-0.006922486930852756,0.0066631716,4051798.95,0.046533203125,0.2,0.0003,4.172325134277344e-07,-3.496993187814951,1771768.75
6970,159744,336.0,78,37094.268612500004,22,0.7775489687919617,770,-0.006487619692052249,0.0052884845,4151911.58671875,0.038720703125,0.2,0.0003,2.980232238769531e-07,-3.4878553487360477,2200576.5
7055,161792,336.0,79,37315.56131739,22,0.771568238735199,780,-0.0068305819353554394,0.0053659435,4142243.89140625,0.034228515625,0.2,0.0003,0.0,-3.47430357336998,1971648.75
7140,163840,336.0,80,37491.64736716001,22,0.7710156440734863,790,-0.004839889572758693,0.0046664383,4280818.2609375,0.021630859375,0.2,0.0003,1.7881393432617188e-07,-3.462914304435253,2213868.5
7224,165888,336.0,81,37734.59274641001,22,0.7660117745399475,800,-0.004447629465721548,0.005143404,4181325.7375,0.02529296875,0.2,0.0003,1.1920928955078125e-07,-3.45255381911993,1917146.0
7310,167936,336.0,82,37939.76243973,22,0.7673758864402771,810,-0.006856595735007432,0.0065124542,4464674.259375,0.0419921875,0.2,0.0003,1.7881393432617188e-07,-3.44570791721344,2327826.5
