rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
336.0,12,26,714,-121421.19962192306,8736,18755.702726818265,8400,0.001,7642147.970982143
336.0,12,27,744,-115372.3740964074,9072,18790.626031784785,8736,0.001,8343848.873511905
336.0,12,28,773,-114645.30386689285,9408,18596.70464797247,9072,0.001,8044264.259672619
336.0,12,29,802,-113372.94863103448,9744,18735.393624441964,9408,0.001,6898588.519345238
336.0,12,30,831,-112742.79377973333,10080,18729.3946039109,9744,0.001,7510664.329613095
336.0,12,31,861,-112153.56003038709,10416,19188.344249906993,10080,0.001,6947934.444196428
336.0,12,32,893,-112604.74583662499,10752,19310.94068545387,10416,0.001,6837369.908482143
336.0,11,33,924,-112606.26323566666,11088,19501.575029645646,10752,0.001,6163696.76860119
336.0,11,34,955,-117682.56325755882,11424,19386.895086379278,11088,0.001,6755364.883184524
336.0,11,35,985,-115856.09918114285,11760,19862.169532412576,11424,0.001,6439319.205357143
336.0,11,36,1016,-121221.634033,12096,19634.043317522322,11760,0.001,6367932.014880952
336.0,11,37,1046,-120539.8971621081,12432,20077.884835379464,12096,0.001,6084900.494791667
336.0,11,38,1075,-123117.07449821052,12768,20022.917294456845,12432,0.001,6355568.555803572
336.0,11,39,1104,-122283.03366451281,13104,20438.30197870164,12768,0.001,6749538.380580357
336.0,11,40,1132,-119166.519981475,13440,20605.21920921689,13104,0.001,6240528.448660715
336.0,11,41,1161,-116060.34345892683,13776,20646.529279436385,13440,0.001,6167372.363467262
336.0,11,42,1191,-113118.30538307143,14112,20593.47702171689,13776,0.001,6431515.340029762
336.0,11,43,1220,-110302.51769444186,14448,20558.478585379464,14112,0.001,6301134.229166667
336.0,11,44,1249,-107487.98907931818,14784,20478.96966843378,14448,0.001,6105834.705357143
336.0,11,45,1278,-104946.72452482222,15120,20441.831304640997,14784,0.001,6006690.436755952
336.0,11,46,1307,-102373.2380947826,15456,20386.36853608631,15120,0.001,5720329.284970238
336.0,11,47,1336,-99976.49459195744,15792,20367.76849655878,15456,0.001,6013139.998511905
336.0,11,48,1367,-97769.20700806251,16128,20239.167085193454,15792,0.001,5338492.192708333
336.0,11,49,1396,-95533.38201683674,16464,20119.269223167783,16128,0.001,5676528.252232143
336.0,11,50,1425,-93502.8610184,16800,20005.515334356398,16464,0.001,5670113.630580357
336.0,11,51,1455,-91484.84752841177,17136,19872.964797247023,16800,0.001,5376868.003348215
336.0,11,52,1484,-89559.13465828846,17472,19806.6717296782,17136,0.001,5262979.373883928
336.0,11,53,1512,-87730.24541371698,17808,19735.915649414062,17472,0.001,5322063.992559524
336.0,11,54,1542,-85958.39770272223,18144,19589.09019542876,17808,0.001,5009276.012276785
336.0,11,55,1581,-84229.83428278183,18480,19367.714198521204,18144,0.001,5202164.626116072
336.0,11,56,1615,-82562.6024255893,18816,19215.235979352678,18480,0.001,4871918.67671131
336.0,11,57,1648,-80882.65451594738,19152,19092.31445893787,18816,0.001,4655108.7421875
336.0,11,58,1681,-79393.35719487931,19488,19050.313976469493,19152,0.001,4579675.087425595
336.0,11,59,1713,-77912.25632345764,19824,18864.260608491444,19488,0.001,4644371.023809524
336.0,11,60,1742,-76503.95497061667,20160,18598.740786597842,19824,0.001,4644658.944196428
336.0,11,61,1771,-75098.1082234918,20496,18489.72074090867,20160,0.001,4784947.226190476
336.0,11,62,1800,-73739.67567748387,20832,18350.27352469308,20496,0.001,4483513.09858631
336.0,11,63,1830,-72424.81816393652,21168,18231.472664969308,20832,0.001,4248102.344494048
336.0,11,64,1859,-71154.62112315625,21504,18139.874020531064,21168,0.001,4060140.9440104165
336.0,11,65,1889,-69950.8198181077,21840,18041.340962727863,21504,0.001,5480510.74516369
336.0,11,66,1918,-68785.72080930303,22176,17939.620492117745,21840,0.001,3797119.688988095
336.0,11,67,1949,-67623.68637071643,22512,17820.1508265904,22176,0.001,4102840.603422619
336.0,11,68,1979,-66499.37506061766,22848,17726.449326288133,22512,0.001,4089462.6004464286
336.0,11,69,2008,-65448.76574227538,23184,17460.193525041854,22848,0.001,4054129.7444196427
