time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range
57344,27,2103,18118.330512459997,336.0,28,0.0259765625,0.0003,1198948.625,-3.7094893977046013,0.8396344780921936,2521710.071875,270,0.0057296017,0.0063558220863342285,-0.004887230697204359,0.2
59392,27,2179,19760.88874074,336.0,29,0.050341796875,0.0003,1064670.75,-3.6922957435250283,0.8336624503135681,2269226.585546875,280,0.007071525,0.00602799654006958,-0.005685948122118134,0.2
61440,27,2256,21060.110255260002,336.0,30,0.047314453125,0.0003,1128446.75,-3.668585900962353,0.827120304107666,2557658.539453125,290,0.006571435,0.00354844331741333,-0.0065736646109144205,0.2
63488,27,2337,22521.12430228,336.0,31,0.041015625,0.0003,1351849.0,-3.6467098362743853,0.8227258324623108,2487954.5671875,300,0.006174071,0.0017342567443847656,-0.004565013726823964,0.2
65536,27,2416,23774.13112334,336.0,32,0.049853515625,0.0003,1501080.5,-3.6324074350297453,0.8210237622261047,3021069.05546875,310,0.0062979474,0.0018746256828308105,-0.006112802484130953,0.2
67584,27,2492,24400.687760799992,336.0,33,0.034033203125,0.0003,1542740.25,-3.6251800119876862,0.8189694881439209,2998379.534375,320,0.0055595543,0.0005062222480773926,-0.0034634813797310925,0.2
69632,27,2568,24932.549510140005,336.0,34,0.063623046875,0.0003,1299595.875,-3.603998227417469,0.8108260631561279,2500350.2765625,330,0.0074285846,0.0001252293586730957,-0.007767448858066928,0.2
71680,27,2642,25417.30658622,336.0,35,0.018603515625,0.0003,1270881.625,-3.5883961386978624,0.8091276288032532,2929688.82578125,340,0.0050705695,0.00014019012451171875,-0.0031096161823370495,0.2
73728,27,2719,26106.442502610007,336.0,36,0.0646484375,0.0003,1473183.0,-3.5747889176011087,0.804627001285553,2669490.67734375,350,0.00681906,0.0002187490463256836,-0.00786652749957284,0.2
75776,27,2795,26726.856882410008,336.0,37,0.04501953125,0.0003,1648738.25,-3.562117452174425,0.804185688495636,3094230.45234375,360,0.005317496,0.00021827220916748047,-0.006686905994138214,0.2
77824,27,2871,27234.389555169997,336.0,38,0.06064453125,0.0003,1618232.875,-3.5457923233509065,0.7975740432739258,3446867.33671875,370,0.0066844476,5.0067901611328125e-06,-0.008484613047039602,0.2
79872,27,2949,27486.318609590006,336.0,39,0.038037109375,0.0003,1267244.0,-3.525436428189278,0.7940108180046082,2152362.892578125,380,0.005183218,2.384185791015625e-06,-0.0044614334256039,0.2
81920,27,3027,27925.950314129997,336.0,40,0.071044921875,0.0003,1271518.375,-3.5109233289957045,0.7908235192298889,2719183.648828125,390,0.007402423,4.172325134277344e-06,-0.00782886110828258,0.2
83968,27,3105,27806.529999530005,336.0,41,0.0390625,0.0003,1564164.25,-3.4925556011497974,0.7839980125427246,2988677.462109375,400,0.006291918,2.682209014892578e-06,-0.004791802797990385,0.2
86016,27,3185,28048.376148780004,336.0,42,0.040771484375,0.0003,1427078.5,-3.478808518499136,0.7834317088127136,2701261.778125,410,0.00524301,1.3709068298339844e-06,-0.004849375115009024,0.2
88064,26,3262,28264.86934256,336.0,43,0.051611328125,0.0003,1584406.875,-3.4843927517533304,0.786766529083252,2917208.85,420,0.0061679417,2.384185791015625e-06,-0.0060790321469539775,0.2
90112,26,3337,28716.644054829994,336.0,44,0.0462890625,0.0003,1363824.25,-3.488720191270113,0.7860931754112244,2797116.78359375,430,0.0062529314,1.3709068298339844e-06,-0.005914703680900857,0.2
92160,26,3415,29169.67670759,336.0,45,0.025,0.0003,1732117.5,-3.4799043864011763,0.7821550369262695,3591357.4390625,440,0.004757033,9.5367431640625e-07,-0.003948791824223008,0.2
94208,26,3495,29743.554264039994,336.0,46,0.0556640625,0.0003,1430913.875,-3.461469854414463,0.7759808897972107,3087356.8609375,450,0.0071506193,1.3709068298339844e-06,-0.008714684053848032,0.2
96256,26,3575,30026.36858516,336.0,47,0.0341796875,0.0003,1514900.875,-3.4389073684811593,0.7706623673439026,3464734.83828125,460,0.0058369422,1.0728836059570312e-06,-0.005159603928041179,0.2
98304,26,3656,29923.777632479992,336.0,48,0.036572265625,0.0003,1640811.25,-3.4222655527293684,0.7679991126060486,3259772.484375,470,0.0053883935,8.344650268554688e-07,-0.00484344220458297,0.2
100352,26,3758,30109.651889190005,336.0,49,0.03251953125,0.0003,1335988.25,-3.4113146916031836,0.7662408947944641,2661733.15234375,480,0.005481233,7.748603820800781e-07,-0.004558586545317667,0.2
102400,26,3842,30817.931473180004,336.0,50,0.0302734375,0.0003,1774407.25,-3.4082112953066828,0.7668569087982178,3475522.36875,490,0.0052732974,5.960464477539062e-07,-0.004043180852022488,0.2
104448,26,3925,31068.148934740002,336.0,51,0.05322265625,0.0003,1176435.375,-3.407802587747574,0.7665226459503174,2800540.032421875,500,0.006756692,4.76837158203125e-07,-0.006061184457212221,0.2
106496,26,4007,30760.91124047,336.0,52,0.046484375,0.0003,1505126.5,-3.3934218123555184,0.760969340801239,3063157.5734375,510,0.0057377694,4.76837158203125e-07,-0.005369791315752081,0.2
108544,26,4089,31342.176067670003,336.0,53,0.02265625,0.0003,1301106.125,-3.370238070189953,0.7536144256591797,3385286.56015625,520,0.005019832,5.364418029785156e-07,-0.004246209284610813,0.2
110592,26,4171,31181.710817199997,336.0,54,0.033984375,0.0003,2081817.625,-3.3445694759488105,0.7480396628379822,3907331.996875,530,0.0061347946,5.960464477539062e-07,-0.005313073121214984,0.2
112640,26,4252,31306.371444629993,336.0,55,0.06494140625,0.0003,1166657.25,-3.324627261608839,0.7438562512397766,2566885.884765625,540,0.01276001,3.5762786865234375e-07,-0.00412968301679939,0.2
114688,26,4330,30984.836952519996,336.0,56,0.050146484375,0.0003,1400832.625,-3.3060304492712023,0.7395179271697998,2786808.534375,550,0.0065264767,4.172325134277344e-07,-0.004987353457545396,0.2
116736,26,4409,31161.432170579996,336.0,57,0.06796875,0.0003,1123718.375,-3.298044718056917,0.7394174933433533,2560210.3375,560,0.007703413,0.0,-0.006713535456219688,0.2
118784,26,4489,31650.376759920004,336.0,58,0.049072265625,0.0003,1275261.875,-3.2976163037121298,0.7390803694725037,2904211.751953125,570,0.0067987754,3.5762786865234375e-07,-0.006128388680372155,0.2
120832,26,4568,31570.472863699997,336.0,59,0.018212890625,0.0003,1659384.0,-3.294908958673477,0.7391193509101868,3106608.89765625,580,0.004394371,3.5762786865234375e-07,-0.0031609033918357453,0.2
122880,26,4647,31665.32286019,336.0,60,0.0654296875,0.0003,1274841.0,-3.2937441259622573,0.7390859127044678,2808257.521875,590,0.007216131,1.1920928955078125e-07,-0.006921602418879047,0.2
124928,26,4726,31694.220134720006,336.0,61,0.035546875,0.0003,1385809.875,-3.2913261607289312,0.7385939955711365,2735129.055078125,600,0.00602496,2.384185791015625e-07,-0.005190111867705127,0.2
126976,26,4804,31651.66553729,336.0,62,0.061865234375,0.0003,1549543.125,-3.2946074649691584,0.7402341365814209,3609187.171875,610,0.0074452846,3.5762786865234375e-07,-0.007414564973441884,0.2
129024,26,4883,31642.829367040005,336.0,63,0.0400390625,0.0003,1130496.125,-3.290520068258047,0.7359082102775574,2719399.32578125,620,0.0063675633,3.5762786865234375e-07,-0.004994661745877238,0.2
131072,26,4962,31319.308461260003,336.0,64,0.04296875,0.0003,1611247.875,-3.278301237523556,0.7346694469451904,3591675.46640625,630,0.006637506,1.1920928955078125e-07,-0.005537217450910248,0.2
133120,26,5039,31132.57933255,336.0,65,0.037109375,0.0003,1956195.5,-3.2686462454497813,0.7331507802009583,2971442.030859375,640,0.00502552,0.0,-0.003996832665870897,0.2
135168,26,5117,30630.95745205,336.0,66,0.04423828125,0.0003,1281774.75,-3.2561667919158936,0.7286038398742676,2277877.33203125,650,0.0061151804,1.1920928955078125e-07,-0.005593727697851136,0.2
137216,26,5195,31431.37344606,336.0,67,0.04208984375,0.0003,1694881.25,-3.251402413100004,0.7301324009895325,2735100.551171875,660,0.005979741,0.0,-0.0041505391265673095,0.2
139264,26,5272,31279.987764769998,336.0,68,0.0291015625,0.0003,1729284.625,-3.2504595182836056,0.7283559441566467,3776802.146875,670,0.0046503954,0.0,-0.003607211940106936,0.2
141312,26,5348,31067.204133119998,336.0,69,0.076513671875,0.0003,1544055.0,-3.24257335588336,0.7265889048576355,2803873.78203125,680,0.008791521,0.0,-0.006481080396042671,0.2
143360,26,5424,30673.97501106,336.0,70,0.053125,0.0003,1635069.125,-3.2375136613845825,0.7266433835029602,3168209.81484375,690,0.0061877416,-1.1920928955078125e-07,-0.005349633520381758,0.2
145408,26,5499,31269.596250270006,336.0,71,0.037255859375,0.0003,1233908.625,-3.2243067659437656,0.7212276458740234,2878382.37578125,700,0.0053305,1.7881393432617188e-07,-0.004431129680597223,0.2
147456,26,5576,31576.09330373,336.0,72,0.0462890625,0.0003,1796940.0,-3.202616560459137,0.7181887030601501,3398980.8328125,710,0.0060765315,1.7881393432617188e-07,-0.005642642230668571,0.2
149504,26,5652,32476.90152609,336.0,73,0.04091796875,0.0003,1440583.0,-3.196912894397974,0.7198182940483093,3319544.7734375,720,0.0054388074,1.7881393432617188e-07,-0.004328701509803068,0.2
151552,26,5728,32680.766473259995,336.0,74,0.066015625,0.0003,2037823.375,-3.2059512987732885,0.7232382297515869,4097497.421875,730,0.009500282,1.7881393432617188e-07,-0.0028384487028233706,0.2
153600,26,5805,32498.81604360999,336.0,75,0.042138671875,0.0003,1587672.75,-3.209599047899246,0.7224614024162292,3458062.7125,740,0.0062925806,0.0,-0.00561576918407809,0.2
155648,26,5880,31975.385589640002,336.0,76,0.0375,0.0003,1479090.375,-3.20708342269063,0.7227547764778137,2694182.866796875,750,0.0043127732,0.0,-0.003662179819366429,0.2
157696,26,5956,32130.947081750004,336.0,77,0.061572265625,0.0003,951406.0,-3.199530879408121,0.7206969857215881,2292781.0921875,760,0.006953934,0.0,-0.007536013978824485,0.2
159744,26,6033,32305.47289655,336.0,78,0.049365234375,0.0003,2170189.25,-3.193675822019577,0.7207586765289307,3525205.709375,770,0.0060167136,1.7881393432617188e-07,-0.00627162565215258,0.2
161792,26,6110,32356.44642149,336.0,79,0.0453125,0.0003,1721674.0,-3.184251959621906,0.7168572545051575,3142725.2609375,780,0.0063659963,0.0,-0.0058304436097387224,0.2
163840,26,6186,31934.075994570005,336.0,80,0.030029296875,0.0003,1608586.375,-3.1727950885891913,0.7163575291633606,2847045.91875,790,0.0058114277,1.7881393432617188e-07,-0.0030591359434765765,0.2
165888,26,6264,32919.57466739,336.0,81,0.035302734375,0.0003,1684338.375,-3.173316689580679,0.7162392735481262,2952796.56953125,800,0.005856565,0.0,-0.0038663620376610196,0.2
