time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/std,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss
7353,22,336.0,24965.834187869998,163840,80,0.7709512710571289,0.2,790,0.0003,0.08239442110061646,0.02265625,-3.44273519217968,1762707.875,-0.003602037554810522,0.004304362,3474368.7453125
7450,22,336.0,25310.22297059,165888,81,0.7732906341552734,0.2,800,0.0003,0.06995636224746704,0.032568359375,-3.4413777887821198,5184192.5,-0.005300187943794299,0.005526319,12095259.684375
7541,22,336.0,26561.843003250004,167936,82,0.7688722014427185,0.2,810,0.0003,0.12336349487304688,0.028076171875,-3.4381574682891367,3740761.75,-0.004431650991318747,0.005374887,4368861.9234375
7629,22,336.0,26790.24227063,169984,83,0.7681100964546204,0.2,820,0.0003,0.12329709529876709,0.0216796875,-3.4265218950808047,1791698.625,-0.0032798342130263337,0.0041311467,3775107.25703125
7717,22,336.0,27027.482203380005,172032,84,0.7705889344215393,0.2,830,0.0003,0.06870406866073608,0.046923828125,-3.4299141176044943,5777737.0,-0.004472617959982017,0.0070994296,11877684.84140625
7804,22,336.0,27247.59784391,174080,85,0.7681024670600891,0.2,840,0.0003,0.11984318494796753,0.03935546875,-3.4293162383139135,1885220.5,-0.006428785253228852,0.00550811,3867737.48203125
7891,22,336.0,27357.789334770005,176128,86,0.7688177227973938,0.2,850,0.0003,0.11130684614181519,0.0451171875,-3.4246199272572992,2359382.5,-0.005617286453343695,0.006326176,4064920.05078125
7989,22,336.0,27785.638617409997,178176,87,0.76614910364151,0.2,860,0.0003,0.10053098201751709,0.027294921875,-3.4190885812044143,2100769.25,-0.005515996675239876,0.004730985,4509389.615625
8090,22,336.0,25402.64169002,180224,88,0.7666130661964417,0.2,870,0.0003,0.0986977219581604,0.027685546875,-3.4138573363423346,2516519.75,-0.0032472470076754687,0.0072838077,6902549.5203125
8192,22,336.0,23731.141538039996,182272,89,0.7659488320350647,0.2,880,0.0003,0.061562180519104004,0.0099609375,-3.4150834567844868,13615144.0,-0.004332817104295827,0.0036329967,28268257.159375
8286,22,336.0,23470.735553219998,184320,90,0.7655229568481445,0.2,890,0.0003,0.07473605871200562,0.003662109375,-3.413291398435831,5748254.0,-0.002833364127218374,0.0031179322,16391382.5703125
8378,22,336.0,23526.438874349995,186368,91,0.7654814124107361,0.2,900,0.0003,0.06822359561920166,0.024853515625,-3.4137203209102154,6334258.0,-0.002112785668577999,0.004473959,12681244.95859375
8471,22,336.0,22646.960685340004,188416,92,0.7640025615692139,0.2,910,0.0003,0.08246380090713501,0.03447265625,-3.4120897322893144,4057467.75,-0.005403241176099982,0.0053427406,9490001.846875
8569,22,336.0,22570.453310909998,190464,93,0.7627449035644531,0.2,920,0.0003,0.06848746538162231,0.025390625,-3.408249071985483,8718070.0,-0.005857328583078925,0.005534222,14403140.0515625
8660,22,336.0,22744.34029419,192512,94,0.7599582672119141,0.2,930,0.0003,0.11314898729324341,0.030615234375,-3.4019995227456095,2722086.25,-0.005566875901422463,0.00559887,5830949.13359375
8750,22,336.0,22391.39058921,194560,95,0.7566677927970886,0.2,940,0.0003,0.16100388765335083,0.048681640625,-3.3911499813199044,2301627.75,-0.008350830985000357,0.006460926,4142125.00859375
8843,22,336.0,22917.510266139998,196608,96,0.7571901679039001,0.2,950,0.0003,0.09362083673477173,0.005859375,-3.3860997475683687,3446762.75,-0.002369387792714406,0.0035828082,7443049.175
8927,22,336.0,23780.531541930002,198656,97,0.7578193545341492,0.2,960,0.0003,0.08777713775634766,0.03134765625,-3.3874196887016295,2709762.5,-0.006008957740414189,0.005012957,6803441.02109375
9008,22,336.0,23572.744987030004,200704,98,0.7559505105018616,0.2,970,0.0003,0.09839969873428345,0.046240234375,-3.386380807310343,1591418.125,-0.005877564099500887,0.0061002304,4765597.271875
9099,22,336.0,24261.67410017,202752,99,0.7562101483345032,0.2,980,0.0003,0.09869962930679321,0.022802734375,-3.382123064249754,1959983.25,-0.005556773431089823,0.0058679255,5627958.21484375
9194,22,336.0,23775.33235163,204800,100,0.7558627128601074,0.2,990,0.0003,0.06554251909255981,0.014697265625,-3.3804472140967845,7194793.0,-0.003963679695152678,0.0043438375,11018896.3375
9283,22,336.0,22788.805311199998,206848,101,0.7570252418518066,0.2,1000,0.0003,0.10721546411514282,0.0203125,-3.3817070588469504,3138447.5,-0.006073866299993824,0.0037945854,6072332.775
9371,22,336.0,22961.282886270004,208896,102,0.7567184567451477,0.2,1010,0.0003,0.11143189668655396,0.0240234375,-3.3832650132477284,4469004.5,-0.0060712887112458706,0.0062279883,9039543.79375
9457,22,336.0,23010.031651769998,210944,103,0.7590044140815735,0.2,1020,0.0003,0.10648155212402344,0.0384765625,-3.3864643923938273,1631430.625,-0.005455379276099848,0.0056489673,4395575.5875
9552,22,336.0,22791.348305890002,212992,104,0.756206214427948,0.2,1030,0.0003,0.08828020095825195,0.030419921875,-3.381903426349163,4986543.0,-0.0035103033573250287,0.0049768807,6325091.98125
9659,22,336.0,25057.79655355,215040,105,0.7579705715179443,0.2,1040,0.0003,0.09404456615447998,0.02314453125,-3.3801053397357466,3924245.5,-0.00378573950874852,0.003713275,7982682.3765625
9750,22,336.0,24137.71823561,217088,106,0.7523019909858704,0.2,1050,0.0003,0.144151508808136,0.027294921875,-3.3709726996719835,1680742.25,-0.004787036936613731,0.0045409277,4072506.03828125
9838,22,336.0,25278.871695679998,219136,107,0.7531967163085938,0.2,1060,0.0003,0.08267402648925781,0.023681640625,-3.36093368306756,4934840.0,-0.004664298798161326,0.004984414,17145322.7296875
9939,22,336.0,24552.527666830003,221184,108,0.7522399425506592,0.2,1070,0.0003,0.11352711915969849,0.02822265625,-3.360861447453499,4203566.5,-0.005822209166944958,0.0042689606,6070134.025
10046,22,336.0,23660.093334450004,223232,109,0.7514179348945618,0.2,1080,0.0003,0.1097758412361145,0.027783203125,-3.355862505733967,4814968.0,-0.005304765343316831,0.0057112398,10612840.2734375
10148,22,336.0,24014.870018729995,225280,110,0.750895082950592,0.2,1090,0.0003,0.08660048246383667,0.01162109375,-3.3531669162213804,6562714.0,-0.003591877390135778,0.004190581,9859523.23046875
10234,22,336.0,23934.965857680003,227328,111,0.7471281886100769,0.2,1100,0.0003,0.14488273859024048,0.059375,-3.3443575993180277,1994926.5,-0.008179377135093091,0.00743721,3904193.0765625
10324,22,336.0,24811.16092627,229376,112,0.7460557818412781,0.2,1110,0.0003,0.10756272077560425,0.055322265625,-3.3343769915401937,3663582.75,-0.006200132243975531,0.007354471,6119195.240625
10411,22,336.0,24455.90409335,231424,113,0.7452420592308044,0.2,1120,0.0003,0.13358044624328613,0.019140625,-3.329825232177973,2166408.75,-0.0034749889742670347,0.0031929729,5530776.4546875
10499,22,336.0,24217.16536229,233472,114,0.7515233159065247,0.2,1130,0.0003,0.13526934385299683,0.017578125,-3.3405858010053633,2564675.0,-0.003892282097513089,0.0035394542,5084398.49375
10587,22,336.0,23040.389462829997,235520,115,0.7498586177825928,0.2,1140,0.0003,0.12431919574737549,0.068408203125,-3.3514961652457713,1841248.25,-0.005758283147588372,0.0075683016,4200718.5375
10672,22,336.0,23255.66071411,237568,116,0.7477359175682068,0.2,1150,0.0003,0.07955831289291382,0.026806640625,-3.3422357119619845,11354809.0,-0.004475007167638978,0.004634305,15454252.01875
10762,22,336.0,23077.282691260003,239616,117,0.7461407780647278,0.2,1160,0.0003,0.10353118181228638,0.03818359375,-3.3358170092105865,2785357.75,-0.0043665720397257244,0.00623185,5984017.7375
10861,22,336.0,22553.725402409997,241664,118,0.7468898892402649,0.2,1170,0.0003,0.11461365222930908,0.03505859375,-3.3338807843625546,7876151.0,-0.003913911658310098,0.004565475,10243598.43125
10978,22,336.0,23127.752388899997,243712,119,0.7450677752494812,0.2,1180,0.0003,0.12893128395080566,0.05302734375,-3.332734315097332,3638937.5,-0.006739690370159224,0.006954345,7338343.42890625
11098,22,336.0,23696.477679929998,245760,120,0.7415053844451904,0.2,1190,0.0003,0.16039836406707764,0.029150390625,-3.321016975492239,1295251.0,-0.00495566410390893,0.0042356346,2905670.090625
11243,22,336.0,24348.257652089997,247808,121,0.7394276261329651,0.2,1200,0.0003,0.14005166292190552,0.043017578125,-3.3078712984919547,1825457.5,-0.0033092839497840033,0.0060889553,2905913.117578125
11381,21,336.0,25533.31752394,249856,122,0.7317946553230286,0.2,1210,0.0003,0.10133814811706543,0.04306640625,-3.286212473362684,1276715.875,-0.007054197492834646,0.0064286375,2897982.8265625
11519,21,336.0,26160.984167060004,251904,123,0.7302139401435852,0.2,1220,0.0003,0.09659427404403687,0.03466796875,-3.266775996983051,1422817.0,-0.005846081612980924,0.0054189977,3153449.734375
11634,21,336.0,26945.468291210007,253952,124,0.7314073443412781,0.2,1230,0.0003,0.1166313886642456,0.042138671875,-3.2651892960071565,1939087.75,-0.006281442925683223,0.005661032,3760929.18125
11710,21,336.0,26955.163459179996,256000,125,0.7248082160949707,0.2,1240,0.0003,0.10586720705032349,0.060205078125,-3.255673412233591,2223404.5,-0.005969156968058087,0.01287824,7332664.61875
