rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates
336.0,11,803376,70961,-126048.92185355,2391,0.001,34288.14647274926,17458057.81845238,803040
336.0,11,803712,70990,-126965.75228651,2392,0.001,34265.36967540922,16155830.458333334,803376
336.0,11,804048,71019,-128583.23600453,2393,0.001,34274.84321521578,15031031.363095239,803712
336.0,11,804384,71047,-128735.01811077,2394,0.001,34152.705961681546,16167996.735119049,804048
336.0,11,804720,71076,-129310.73220700999,2395,0.001,34283.14007859003,15161481.08407738,804384
336.0,11,805056,71104,-128446.43166348999,2396,0.001,34301.885951450895,16022688.110119049,804720
336.0,11,805392,71134,-128957.69454725999,2397,0.001,34197.98667689732,17258394.57589286,805056
336.0,11,805728,71162,-129636.30746853998,2398,0.001,34239.26939174107,17336513.31026786,805392
336.0,11,806064,71191,-129643.82170933997,2399,0.001,34287.54559616816,16372616.614583334,805728
336.0,11,806400,71220,-130735.07291875998,2400,0.001,34323.16165597098,17213790.95238095,806064
336.0,11,806736,71249,-130257.19779947998,2401,0.001,34208.694545200895,15107113.179315476,806400
336.0,11,807072,71277,-132215.08402864,2402,0.001,34235.3893577939,17948001.05580357,806736
336.0,11,807408,71306,-131250.78959827998,2403,0.001,34222.14726329985,16112354.836309524,807072
336.0,11,807744,71334,-131559.85171621002,2404,0.001,34071.70777529762,15472308.683779761,807408
336.0,11,808080,71363,-130760.46741501,2405,0.001,34209.23980422247,16293593.674107144,807744
336.0,11,808416,71392,-131569.75562480002,2406,0.001,34151.50626627604,14628102.244791666,808080
336.0,11,808752,71421,-130981.59119532003,2407,0.001,34283.789829799105,15533556.466517856,808416
336.0,11,809088,71449,-130521.83499435002,2408,0.001,34275.42213076637,16466440.979166666,808752
336.0,11,809424,71479,-130538.80418278002,2409,0.001,34159.53105236235,15379943.65327381,809088
336.0,11,809760,71509,-128440.36061390002,2410,0.001,34067.95863560268,14557620.671130951,809424
336.0,11,810096,71537,-129947.93289523,2411,0.001,34260.50789388021,17345143.23065476,809760
336.0,11,810432,71566,-130829.28164411001,2412,0.001,34259.54704938616,16553233.245535715,810096
336.0,11,810768,71595,-130740.18098409,2413,0.001,34173.30056036086,15417302.332589285,810432
336.0,11,811104,71624,-133856.01146837,2414,0.001,34345.89910016741,16823246.748511903,810768
336.0,11,811440,71653,-135097.5458825,2415,0.001,34077.6104561942,17832355.04315476,811104
336.0,11,811776,71681,-132657.09328129,2416,0.001,34089.13034784226,17928639.707589287,811440
336.0,11,812112,71710,-133975.23280147,2417,0.001,34181.34025065104,15403799.382440476,811776
336.0,11,812448,71739,-132999.97300385,2418,0.001,34183.65741257441,15191184.789434524,812112
336.0,11,812784,71767,-132945.56082112,2419,0.001,34198.454496837796,16044467.926339285,812448
336.0,11,813120,71796,-132597.53382412,2420,0.001,34374.200811476934,15582610.091517856,812784
336.0,11,813456,71825,-133621.60356115,2421,0.001,34065.880498976934,17053472.41220238,813120
336.0,11,813792,71854,-132246.22500804003,2422,0.001,34002.85722423735,15166929.390625,813456
336.0,11,814128,71882,-131082.07517730002,2423,0.001,34134.28093610491,17281324.36011905,813792
336.0,11,814464,71911,-130198.78367700001,2424,0.001,34207.54643322172,13740252.169642856,814128
336.0,11,814800,71939,-131566.37600226,2425,0.001,34282.11473446801,17002455.229910713,814464
336.0,11,815136,71968,-131404.07478623002,2426,0.001,34182.0330984933,16361252.5,814800
336.0,11,815472,71996,-130247.61285361,2427,0.001,34198.50387137277,15389785.632440476,815136
336.0,11,815808,72025,-131133.09348496,2428,0.001,34251.32941545759,16989150.333333332,815472
336.0,11,816144,72053,-130016.17772397998,2429,0.001,34172.337193080355,16479131.840029761,815808
336.0,11,816480,72082,-128811.05828274999,2430,0.001,34276.69602167039,16928523.81622024,816144
336.0,11,816816,72111,-128222.52729672997,2431,0.001,34229.93501209078,17414846.00297619,816480
336.0,11,817152,72140,-129724.54230187999,2432,0.001,34094.39451962426,17950472.79910714,816816
336.0,11,817488,72168,-128169.76362797998,2433,0.001,34223.47750418527,16803186.679315478,817152
336.0,11,817824,72199,-127389.85274436999,2434,0.001,34155.91774786086,15525081.986607144,817488
336.0,11,818160,72228,-128291.59793073998,2435,0.001,34194.39887927828,17489483.48214286,817824
336.0,11,818496,72256,-128720.17542223001,2436,0.001,34172.50513857887,16287453.808035715,818160
336.0,11,818832,72285,-130464.24933429001,2437,0.001,34058.718424479164,16773522.26860119,818496
336.0,11,819168,72315,-128713.35709872002,2438,0.001,34078.00056966146,16852684.61532738,818832
336.0,11,819504,72344,-128782.88989990001,2439,0.001,34050.65520368303,16164581.794642856,819168
336.0,11,819840,72372,-129498.39435991,2440,0.001,34168.638346354164,16194798.76264881,819504
336.0,11,820176,72403,-129390.91803556,2441,0.001,34007.93065243676,15327514.14732143,819840
336.0,11,820512,72432,-130053.35232706,2442,0.001,34112.89386858259,17133387.23511905,820176
336.0,11,820848,72462,-130307.84092736998,2443,0.001,34115.62034970238,16483742.561755951,820512
336.0,11,821184,72491,-130771.96046599,2444,0.001,34004.54177129836,19888142.77827381,820848
336.0,11,821520,72520,-130762.91778509998,2445,0.001,33892.568754650296,15641506.632440476,821184
336.0,11,821856,72549,-129261.33388333999,2446,0.001,33929.37816220238,16208054.60639881,821520
336.0,11,822192,72580,-129788.42199950998,2447,0.001,34149.50653366816,15356726.685267856,821856
336.0,11,822528,72610,-129951.09615197999,2448,0.001,33926.73975771949,17946942.10267857,822192
336.0,11,822864,72639,-129839.11972927001,2449,0.001,34136.923432849704,14835800.947916666,822528
336.0,11,823200,72668,-130404.2840695,2450,0.001,33957.206635974704,15147779.773809524,822864
336.0,11,823536,72698,-130265.82812812,2451,0.001,34102.31527855283,16364849.260416666,823200
336.0,11,823872,72729,-129410.04561122999,2452,0.001,33910.95782180059,16788900.54761905,823536
